POW_SA2_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
101021007,3,4,6,160,88,249,0,0,0,4,0,11,0,0,0,3,6,6,169,97,269,4,0,4,0,0,0,0,0,0,82,13,90,7,0,7,3,0,3,94,11,104,0,0,3,14,11,20,0,0,5,5,4,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,4,0,4,0,0,0,0,0,0,3,6,12,40,20,58,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,7,5,9,0,0,0,25,7,30,22,0,21,54,10,62,106,13,119,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,16,0,4,4,0,0,0,4,0,4,20,34,51,17,32,45,0,0,0,37,69,109,0,0,0,5,9,14,36,67,106,45,80,124,3,0,3,19,12,29,0,0,0,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,7,3,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,5,4,7,0,0,0,9,0,8,0,0,5,3,3,5,4,0,3,3,3,10,4,0,4,41,15,52,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,8,0,10,27,6,32,12,0,12,147,15,160,195,26,217,0,0,0,10,0,11,28,3,26,0,0,0,0,0,0,0,4,4,0,0,0,39,6,48,0,0,0,0,0,0,7,0,7,26,14,42,8,17,20,0,0,0,37,32,75,0,0,0,4,5,7,22,16,32,22,23,46,0,0,0,11,3,10,0,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,7,31,4,37,3,15,16,5,0,5,0,3,3,18,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,0,6,3,0,3,16,0,20,5,0,9,3,0,0,15,0,14,102,33,136,0,0,0,3,0,3,0,0,0,5,0,3,6,0,10,16,4,17,29,6,34,66,12,83,34,0,36,252,19,273,384,37,425,0,0,0,21,3,21,3,0,3,28,0,32,10,4,12,0,0,0,0,0,0,60,15,73,5,9,8,4,0,4,12,4,17,158,122,273,82,176,254,0,0,0,259,303,561,0,0,0,11,27,34,244,213,456,255,240,494,0,3,3,55,3,55,0,0,0,0,0,0,0,0,0,0,0
101021010,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,8,0,5,0,0,3,0,0,0,0,0,0,0,0,0,8,5,18,0,0,0,12,3,15,60,18,75,17,10,19,10,0,13,0,0,0,41,10,49,0,0,5,3,0,12,0,0,0,5,6,6,14,5,21,33,6,41,86,13,102,82,9,95,18,8,25,33,8,43,35,8,44,449,105,550,0,0,0,34,0,32,0,0,0,3,0,3,34,0,36,69,6,75,58,9,66,117,21,135,62,13,79,388,66,452,627,107,733,4,6,10,42,14,54,5,7,13,7,0,7,15,6,22,7,0,7,0,0,0,76,30,106,4,3,6,35,7,48,14,5,19,5,0,4,40,69,110,0,0,3,97,88,186,0,0,0,8,17,27,110,115,227,124,130,251,4,5,13,200,21,222,0,0,0,0,0,0,3,0,3,0,0
101021012,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,0,4,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,49,12,7,20,0,0,0,3,6,12,47,9,55,0,0,0,4,0,7,0,0,0,5,0,5,0,0,0,9,3,18,15,0,18,32,8,34,3,0,3,33,12,44,33,3,36,238,64,299,0,0,0,5,0,5,0,0,0,0,0,0,40,6,47,40,6,50,52,8,63,144,16,167,27,3,30,425,37,460,650,72,721,4,3,5,13,3,23,9,4,12,3,0,3,0,0,3,0,0,0,0,0,0,33,13,45,0,0,0,0,0,5,11,4,10,61,66,123,24,32,49,0,0,0,94,100,195,0,0,0,0,0,0,93,75,165,93,76,165,5,0,9,90,9,101,0,0,0,0,0,0,0,0,4,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,13,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,46,10,58,12,0,19,85,13,103,148,27,176,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,3,14,0,0,0,0,0,0,0,0,0,35,27,56,9,6,15,0,0,0,39,30,77,0,0,0,0,0,0,20,15,32,20,15,32,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,3,168,92,262,0,0,0,3,4,8,0,0,0,9,8,20,186,106,294,0,0,0,0,0,0,0,0,0,5,0,9,13,4,21,4,0,4,26,6,38,7,0,7,15,8,26,6,3,16,0,5,5,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,3,8,0,7,7,0,6,4,0,4,3,3,8,0,0,3,8,3,15,70,29,102,0,0,0,5,0,10,0,0,0,11,0,14,62,11,69,78,11,92,19,10,26,97,12,111,39,8,49,215,51,273,372,82,451,0,0,0,0,0,4,0,0,4,0,0,0,4,0,6,4,0,0,0,0,0,14,10,20,3,3,8,0,0,0,7,8,15,44,41,84,19,34,54,3,0,4,69,94,159,0,0,0,23,21,48,83,96,187,114,123,236,3,0,8,30,14,42,0,0,0,0,0,0,3,0,3,0,0
101031013,0,0,4,150,69,213,0,0,0,65,11,76,0,0,0,16,0,21,231,85,308,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,7,4,9,3,3,4,0,7,7,0,0,0,0,0,0,67,11,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,3,5,10,77,32,104,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,5,0,7,11,0,11,13,0,15,29,3,33,59,6,59,0,0,0,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,9,10,0,4,4,8,5,9,0,0,0,10,42,48,3,21,23,0,0,0,22,75,94,0,0,0,3,8,14,10,24,35,10,33,51,0,0,4,17,8,29,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,30,12,40,0,0,0,0,0,0,0,0,0,19,0,16,50,11,59,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,4,19,14,6,22,0,0,0,0,0,0,3,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,9,0,6,13,4,9,5,0,5,0,0,0,0,0,5,4,0,4,66,17,81,0,0,3,218,107,324,3,0,4,4,6,4,10,8,15,234,117,351,61,9,70,77,15,85,127,32,151,138,16,153,397,72,461,0,0,4,47,28,71,3,4,5,0,0,0,4,0,10,0,3,3,4,5,3,61,37,96,17,16,30,38,14,52,13,10,33,61,87,146,79,218,293,4,0,5,206,352,557,4,0,0,29,41,67,107,140,251,140,183,320,11,0,16,76,17,102,0,0,0,0,0,0,0,0,0,0,0
101031015,4,0,3,204,88,294,0,0,0,4,0,4,0,0,4,8,5,12,222,100,313,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,7,8,0,0,3,3,10,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,24,0,0,0,12,5,12,0,0,0,0,0,0,0,0,3,12,0,16,17,0,17,9,0,10,21,4,30,44,11,49,91,19,105,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,3,5,0,0,0,9,0,9,5,4,10,5,7,4,0,0,0,17,15,31,0,0,0,13,17,34,12,32,42,22,52,79,0,0,3,8,3,10,0,0,0,0,0,0,0,0,0,0,0
101031016,0,3,4,118,54,176,11,0,5,0,0,0,5,0,5,6,0,10,137,57,190,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,0,3,8,6,9,3,0,4,6,9,20,13,9,22,0,0,0,4,3,6,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,10,3,11,6,0,4,0,0,0,3,0,3,0,0,0,8,0,6,46,28,81,0,0,0,32,5,36,0,0,0,4,0,4,8,4,12,37,3,44,17,9,19,73,13,84,21,0,23,166,22,188,271,42,310,3,0,0,18,13,32,5,0,9,0,0,0,5,0,7,0,5,5,0,0,0,35,23,55,11,9,28,7,4,15,10,12,21,40,49,90,65,78,145,0,0,3,138,157,298,0,3,3,628,625,1251,230,251,485,867,881,1747,8,4,16,25,6,29,6,0,6,0,0,0,8,0,8,62,43
101041017,0,0,0,5,4,9,43,11,56,13,3,11,5,3,3,4,0,7,62,27,88,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,5,20,9,14,28,7,0,3,4,7,11,20,6,21,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,16,0,16,10,3,19,23,3,32,11,0,11,7,0,5,16,7,24,146,45,190,0,0,0,3,0,3,0,0,0,11,0,11,12,0,12,22,0,22,24,8,26,95,18,113,45,14,59,272,45,320,434,84,513,0,0,0,20,13,35,7,4,7,16,5,21,13,3,21,6,8,15,0,0,0,65,35,99,7,13,23,32,11,43,9,6,12,119,156,273,211,271,482,0,0,0,376,460,833,0,0,3,39,78,118,215,232,446,258,317,570,6,0,8,82,14,99,0,0,0,0,0,0,0,0,0,5,0
101041018,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,10,11,25,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,9,0,7,4,0,8,60,11,72,10,0,10,100,11,104,172,20,197,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,7,4,4,3,0,0,3,0,0,4,38,33,73,14,45,59,0,0,0,62,85,144,0,0,0,26,41,68,33,45,77,56,87,143,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
101041019,0,0,0,65,25,92,5,0,6,0,0,0,0,0,0,4,0,10,78,28,110,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,3,0,3,6,0,6,358,183,543,3,0,3,0,7,7,10,0,8,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,4,0,4,0,0,0,4,0,4,0,5,3,394,197,585,0,0,0,42,0,42,0,0,0,31,8,39,29,7,33,106,9,117,18,3,23,69,13,81,24,5,31,135,23,157,244,43,282,3,0,3,49,20,72,4,5,5,0,0,6,5,6,4,3,0,9,0,0,0,61,28,91,7,15,24,53,15,66,5,9,15,73,138,213,67,178,251,0,0,0,211,358,565,0,0,0,26,59,89,136,147,283,166,206,371,4,4,11,70,22,90,0,0,0,0,0,0,0,0,0,0,0
101041020,5,0,5,342,173,518,22,6,25,8,4,9,3,0,3,8,3,8,387,187,568,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,7,4,0,3,4,9,14,0,5,4,0,3,6,9,0,9,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,5,5,8,3,0,3,3,0,3,6,0,3,0,0,0,3,0,4,40,29,68,0,0,0,0,0,0,0,0,0,5,0,5,5,0,8,9,0,5,10,4,11,33,10,38,15,0,20,131,18,145,188,28,216,0,0,0,19,5,24,4,0,6,0,0,0,0,0,0,4,5,3,0,0,0,30,7,38,0,0,3,0,0,0,6,3,8,5,14,18,11,23,32,0,0,0,24,37,57,0,0,0,0,13,18,18,37,55,23,50,74,6,0,3,16,6,25,0,0,0,0,0,0,0,0,0,4,0
101041021,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,3,34,10,43,3,0,3,66,7,72,102,18,126,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,5,23,16,36,0,11,16,0,0,0,30,31,59,0,0,0,23,25,52,44,52,93,64,77,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,6,0,6,54,11,67,26,10,34,3,0,3,85,28,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,8,10,0,3,0,0,0,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,8,0,8,5,0,5,3,0,6,70,19,88,0,0,0,9,0,9,0,0,0,0,0,0,6,0,0,9,0,10,7,0,9,18,0,18,15,0,16,48,3,48,86,8,93,0,0,0,14,3,22,0,0,0,0,0,0,5,6,5,10,9,14,3,0,3,34,14,48,0,8,5,22,8,32,0,4,7,29,49,77,17,23,45,0,0,0,74,90,167,0,0,0,22,52,78,34,50,85,58,107,165,0,0,5,16,9,24,0,0,0,0,0,0,0,0,0,0,0
101041024,0,0,0,68,40,105,15,0,16,0,0,0,0,0,0,0,0,0,86,37,123,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,9,0,7,0,0,0,6,6,13,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,21,15,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,12,0,12,17,0,19,47,7,51,58,10,68,137,17,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,4,5,0,9,4,3,9,11,21,33,0,0,0,26,38,66,0,0,0,20,28,49,17,38,60,38,68,110,0,3,3,13,4,19,0,0,0,0,0,0,0,0,0,0,0
101041025,0,0,0,13,0,12,44,15,56,6,6,6,3,4,9,0,0,0,61,30,93,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,15,0,20,28,31,58,3,12,14,0,4,4,15,0,14,0,0,0,9,0,10,0,0,0,0,0,0,4,0,4,6,0,6,9,3,13,8,6,10,4,0,3,10,0,4,8,0,12,119,67,182,0,0,0,3,4,8,0,0,0,3,0,3,4,0,4,15,4,9,22,7,29,88,17,103,24,0,20,204,25,236,341,48,391,0,0,0,37,14,54,4,4,6,0,0,0,17,6,25,0,6,3,3,0,3,65,29,90,7,12,14,9,6,14,11,4,15,117,157,273,91,215,305,0,0,0,235,393,628,0,0,0,72,115,185,220,262,479,293,376,667,3,5,9,54,12,65,0,0,0,0,0,0,4,10,13,0,0
101041026,0,0,0,31,11,47,4,0,3,0,0,5,3,0,9,0,0,0,46,14,61,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,7,4,12,8,7,11,10,5,19,0,0,0,0,0,3,5,5,12,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,3,12,0,18,0,0,3,22,5,29,4,5,10,0,8,8,82,33,117,0,0,0,40,5,43,0,0,0,21,3,25,31,7,37,87,17,109,12,0,10,75,15,87,24,4,28,156,25,176,260,42,304,0,0,0,22,10,28,0,0,0,0,3,4,5,4,9,5,0,5,0,0,0,39,13,44,3,6,16,25,10,36,10,15,23,75,86,162,58,114,175,0,0,0,181,226,411,4,0,4,18,32,46,78,92,170,93,126,218,0,4,6,70,13,87,0,0,0,0,0,0,3,0,3,0,0
101041027,0,0,4,31,12,41,19,8,28,7,0,7,20,4,25,9,0,5,88,23,110,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,0,4,8,23,21,45,6,3,6,0,0,0,21,0,20,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,4,12,4,3,10,4,0,5,4,0,3,0,0,4,4,0,8,70,39,110,0,0,0,0,0,4,0,0,0,11,4,13,0,0,0,11,5,18,9,0,9,78,17,100,3,0,3,138,17,160,230,39,268,0,0,0,24,7,34,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,29,8,43,7,11,20,8,0,9,10,7,16,109,131,243,45,98,142,0,0,0,178,244,426,0,0,0,69,107,172,137,167,307,204,272,478,0,3,5,40,6,43,0,0,0,0,0,0,0,0,0,9,8
101051539,0,3,3,64,33,98,0,0,0,6,0,6,0,0,0,12,4,17,76,41,122,10,0,10,0,0,0,0,0,0,0,0,0,9,0,9,0,4,5,16,4,21,69,17,86,191,93,280,41,14,56,3,21,26,18,0,18,0,0,0,9,12,16,0,0,0,0,0,0,0,0,0,27,0,33,35,9,42,19,3,22,67,9,78,10,8,10,10,3,12,496,183,679,0,0,0,39,4,42,0,0,0,10,0,6,13,11,20,65,16,77,39,5,42,177,31,199,44,8,49,433,56,492,691,98,787,0,0,0,81,38,119,23,12,33,14,4,13,19,8,22,9,5,6,7,6,18,147,68,215,20,21,40,68,33,103,25,30,56,217,280,492,195,394,590,0,0,0,528,761,1283,0,0,0,36,87,122,367,429,794,402,516,912,17,3,18,175,43,218,28,4,32,0,0,0,0,0,0,0,0
101051540,11,5,10,789,320,1114,0,0,0,4,0,4,0,0,0,53,7,60,855,331,1196,6,0,6,5,0,5,0,0,0,13,0,15,149,19,169,4,0,4,175,24,200,3,4,6,12,8,21,0,0,3,0,12,15,11,4,11,0,0,0,0,0,0,0,0,0,31,16,48,0,0,0,63,5,65,0,0,0,6,0,4,14,4,16,4,0,4,6,0,8,159,51,207,0,0,0,17,7,25,0,0,0,7,0,9,8,3,14,42,12,56,18,0,18,58,10,71,52,12,62,246,33,282,369,59,432,0,0,0,16,8,30,0,0,4,0,0,0,0,0,0,0,6,3,8,0,6,37,18,50,10,6,15,0,0,4,11,34,45,24,57,84,21,50,75,0,0,0,66,154,222,0,0,0,5,18,25,54,99,153,65,111,183,3,0,3,105,24,126,0,0,0,0,0,0,13,0,11,0,0
101061541,0,0,0,39,17,54,0,0,0,0,0,0,0,0,0,10,0,10,55,17,75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,4,0,3,6,7,14,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,0,8,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,33,17,51,5,0,5,71,7,69,0,0,0,0,0,0,5,0,5,72,7,77,14,4,16,30,8,36,12,0,9,125,19,144,178,32,206,0,0,3,27,13,46,0,0,0,5,0,4,0,0,3,0,0,0,0,4,6,41,22,64,3,8,14,13,4,23,13,9,19,67,61,132,30,84,117,0,0,0,135,166,300,0,0,0,17,28,46,110,139,254,132,165,295,7,0,3,47,10,55,0,0,0,0,0,0,0,0,0,0,0
101061542,10,3,12,510,274,781,0,0,0,0,0,0,0,0,0,23,12,34,544,289,838,6,0,6,0,0,0,0,0,0,0,0,0,23,4,23,6,3,4,31,4,37,3,0,8,9,17,27,66,48,112,3,7,10,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,7,4,0,4,3,0,3,4,0,4,0,0,0,9,0,10,113,75,189,0,0,0,11,4,14,0,0,0,3,0,3,7,0,5,21,3,30,19,5,20,58,8,71,38,4,37,178,44,219,292,63,355,0,0,0,11,0,16,4,0,4,0,0,0,3,0,3,11,0,6,0,0,0,22,7,33,0,4,7,3,0,0,4,9,10,17,19,38,8,23,35,0,0,0,35,57,88,0,3,3,21,34,58,81,113,191,103,146,253,3,0,3,17,6,25,0,0,0,0,0,0,0,0,0,0,0
