POW_SA2_CODE_2021,EWPT_20_24_TertUni_or_OHE_FT,EWPT_20_24_TertUni_or_OHE_PT,EWPT_20_24_TertUni_or_OHE_NS,EWPT_20_24_TertUni_or_OHE_Tot,EWPT_20_24_Other_FT,EWPT_20_24_Other_PT,EWPT_20_24_Other_NS,EWPT_20_24_Other_Tot,EWPT_20_24_Not_Stated,EWPT_20_24_Tot,EWPT_25_29_TertVE_TPTP_FT,EWPT_25_29_TertVE_TPTP_PT,EWPT_25_29_TertVE_TPTP_NS,EWPT_25_29_TertVE_TPTP_Tot,EWPT_25_29_TertUni_or_OHE_FT,EWPT_25_29_TertUni_or_OHE_PT,EWPT_25_29_TertUni_or_OHE_NS,EWPT_25_29_TertUni_or_OHE_Tot,EWPT_25_29_Other_FT,EWPT_25_29_Other_PT,EWPT_25_29_Other_NS,EWPT_25_29_Other_Tot,EWPT_25_29_Not_Stated,EWPT_25_29_Tot,EWPT_30ov_TertVE_TPTP_FT,EWPT_30ov_TertVE_TPTP_PT,EWPT_30ov_TertVE_TPTP_NS,EWPT_30ov_TertVE_TPTP_Tot,EWPT_30ov_TertUni_or_OHE_FT,EWPT_30ov_TertUni_or_OHE_PT,EWPT_30ov_TertUni_or_OHE_NS,EWPT_30ov_TertUni_or_OHE_Tot,EWPT_30ov_Other_FT,EWPT_30ov_Other_PT,EWPT_30ov_Other_NS,EWPT_30ov_Other_Tot,EWPT_30ov_Not_Stated,EWPT_30ov_Tot,EWPT_Tot_TertVE_TPTP_FT,EWPT_Tot_TertVE_TPTP_PT,EWPT_Tot_TertVE_TPTP_NS,EWPT_Tot_TertVE_TPTP_Tot,EWPT_Tot_TertUni_or_OHE_FT,EWPT_Tot_TertUni_or_OHE_PT,EWPT_Tot_TertUni_or_OHE_NS,EWPT_Tot_TertUni_or_OHE_Tot,EWPT_Tot_Other_FT,EWPT_Tot_Other_PT,EWPT_Tot_Other_NS,EWPT_Tot_Other_Tot,EWPT_Tot_Not_Stated,EWPT_Tot_Tot,EAFW_15_TertVE_TPTP_FT,EAFW_15_TertVE_TPTP_PT,EAFW_15_TertVE_TPTP_NS,EAFW_15_TertVE_TPTP_Tot,EAFW_15_TertUni_or_OHE_FT,EAFW_15_TertUni_or_OHE_PT,EAFW_15_TertUni_or_OHE_NS,EAFW_15_TertUni_or_OHE_Tot,EAFW_15_Other_FT,EAFW_15_Other_PT,EAFW_15_Other_NS,EAFW_15_Other_Tot,EAFW_15_Not_Stated,EAFW_15_Tot,EAFW_16_TertVE_TPTP_FT,EAFW_16_TertVE_TPTP_PT,EAFW_16_TertVE_TPTP_NS,EAFW_16_TertVE_TPTP_Tot,EAFW_16_TertUni_or_OHE_FT,EAFW_16_TertUni_or_OHE_PT,EAFW_16_TertUni_or_OHE_NS,EAFW_16_TertUni_or_OHE_Tot,EAFW_16_Other_FT,EAFW_16_Other_PT,EAFW_16_Other_NS,EAFW_16_Other_Tot,EAFW_16_Not_Stated,EAFW_16_Tot,EAFW_17_TertVE_TPTP_FT,EAFW_17_TertVE_TPTP_PT,EAFW_17_TertVE_TPTP_NS,EAFW_17_TertVE_TPTP_Tot,EAFW_17_TertUni_or_OHE_FT,EAFW_17_TertUni_or_OHE_PT,EAFW_17_TertUni_or_OHE_NS,EAFW_17_TertUni_or_OHE_Tot,EAFW_17_Other_FT,EAFW_17_Other_PT,EAFW_17_Other_NS,EAFW_17_Other_Tot,EAFW_17_Not_Stated,EAFW_17_Tot,EAFW_18_TertVE_TPTP_FT,EAFW_18_TertVE_TPTP_PT,EAFW_18_TertVE_TPTP_NS,EAFW_18_TertVE_TPTP_Tot,EAFW_18_TertUni_or_OHE_FT,EAFW_18_TertUni_or_OHE_PT,EAFW_18_TertUni_or_OHE_NS,EAFW_18_TertUni_or_OHE_Tot,EAFW_18_Other_FT,EAFW_18_Other_PT,EAFW_18_Other_NS,EAFW_18_Other_Tot,EAFW_18_Not_Stated,EAFW_18_Tot,EAFW_19_TertVE_TPTP_FT,EAFW_19_TertVE_TPTP_PT,EAFW_19_TertVE_TPTP_NS,EAFW_19_TertVE_TPTP_Tot,EAFW_19_TertUni_or_OHE_FT,EAFW_19_TertUni_or_OHE_PT,EAFW_19_TertUni_or_OHE_NS,EAFW_19_TertUni_or_OHE_Tot,EAFW_19_Other_FT,EAFW_19_Other_PT,EAFW_19_Other_NS,EAFW_19_Other_Tot,EAFW_19_Not_Stated,EAFW_19_Tot,EAFW_20_24_TertVE_TPTP_FT,EAFW_20_24_TertVE_TPTP_PT,EAFW_20_24_TertVE_TPTP_NS,EAFW_20_24_TertVE_TPTP_Tot,EAFW_20_24_TertUni_or_OHE_FT,EAFW_20_24_TertUni_or_OHE_PT,EAFW_20_24_TertUni_or_OHE_NS,EAFW_20_24_TertUni_or_OHE_Tot,EAFW_20_24_Other_FT,EAFW_20_24_Other_PT,EAFW_20_24_Other_NS,EAFW_20_24_Other_Tot,EAFW_20_24_Not_Stated,EAFW_20_24_Tot,EAFW_25_29_TertVE_TPTP_FT,EAFW_25_29_TertVE_TPTP_PT,EAFW_25_29_TertVE_TPTP_NS,EAFW_25_29_TertVE_TPTP_Tot,EAFW_25_29_TertUni_or_OHE_FT,EAFW_25_29_TertUni_or_OHE_PT,EAFW_25_29_TertUni_or_OHE_NS,EAFW_25_29_TertUni_or_OHE_Tot,EAFW_25_29_Other_FT,EAFW_25_29_Other_PT,EAFW_25_29_Other_NS,EAFW_25_29_Other_Tot,EAFW_25_29_Not_Stated,EAFW_25_29_Tot,EAFW_30ov_TertVE_TPTP_FT,EAFW_30ov_TertVE_TPTP_PT,EAFW_30ov_TertVE_TPTP_NS,EAFW_30ov_TertVE_TPTP_Tot,EAFW_30ov_TertUni_or_OHE_FT,EAFW_30ov_TertUni_or_OHE_PT,EAFW_30ov_TertUni_or_OHE_NS,EAFW_30ov_TertUni_or_OHE_Tot,EAFW_30ov_Other_FT,EAFW_30ov_Other_PT,EAFW_30ov_Other_NS,EAFW_30ov_Other_Tot,EAFW_30ov_Not_Stated,EAFW_30ov_Tot,EAFW_Tot_TertVE_TPTP_FT,EAFW_Tot_TertVE_TPTP_PT,EAFW_Tot_TertVE_TPTP_NS,EAFW_Tot_TertVE_TPTP_Tot,EAFW_Tot_TertUni_or_OHE_FT,EAFW_Tot_TertUni_or_OHE_PT,EAFW_Tot_TertUni_or_OHE_NS,EAFW_Tot_TertUni_or_OHE_Tot,EAFW_Tot_Other_FT,EAFW_Tot_Other_PT,EAFW_Tot_Other_NS,EAFW_Tot_Other_Tot,EAFW_Tot_Not_Stated,EAFW_Tot_Tot,Tot_15_TertVE_TPTP_FT,Tot_15_TertVE_TPTP_PT,Tot_15_TertVE_TPTP_NS,Tot_15_TertVE_TPTP_Tot,Tot_15_TertUni_or_OHE_FT,Tot_15_TertUni_or_OHE_PT,Tot_15_TertUni_or_OHE_NS,Tot_15_TertUni_or_OHE_Tot,Tot_15_Other_FT,Tot_15_Other_PT,Tot_15_Other_NS,Tot_15_Other_Tot,Tot_15_Not_Stated,Tot_15_Tot,Tot_16_TertVE_TPTP_FT,Tot_16_TertVE_TPTP_PT,Tot_16_TertVE_TPTP_NS,Tot_16_TertVE_TPTP_Tot,Tot_16_TertUni_or_OHE_FT,Tot_16_TertUni_or_OHE_PT,Tot_16_TertUni_or_OHE_NS,Tot_16_TertUni_or_OHE_Tot
101021007,8,3,0,9,0,0,0,0,0,18,0,4,0,4,3,0,0,3,0,0,0,0,0,8,4,9,0,10,4,7,0,12,0,0,0,0,0,22,6,21,0,25,14,9,0,21,34,3,0,32,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,4,0,3,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0
101021008,13,0,0,11,0,0,0,0,0,17,0,6,0,6,0,0,0,0,0,0,0,0,0,6,5,5,0,7,0,0,0,3,0,0,0,0,0,8,3,12,0,10,21,3,0,23,27,0,0,27,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0
101021009,89,16,0,99,0,0,0,0,0,122,6,14,0,12,23,9,0,30,5,4,0,12,0,58,16,34,0,47,22,25,0,49,7,11,0,16,3,116,32,59,0,91,186,56,0,235,181,20,0,198,4,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,5,0,9,8,0,0,7,0,0,0,0,0,13,0,0,0,0,0,4,0,4,0,0,0,0,0,12,6,0,0,4,0,4,0,6,0,0,0,0,4,12,0,9,0,15,12,11,0,20,11,0,0,11,4,52,0,0,0,0,0,0,0,0,39,0,0,39,0,38,0,3,0,3,0,0,0,0
101021010,31,11,0,40,0,0,0,0,0,50,0,0,0,5,4,3,0,8,0,4,0,3,0,21,6,8,0,18,8,5,0,18,5,3,0,11,0,41,19,17,0,34,66,23,0,88,114,11,0,121,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,9,4,7,0,10,0,5,0,7,4,0,0,4,4,23,0,0,0,0,0,0,0,0,46,0,0,46,0,46,0,3,0,5,0,0,0,0
101021012,40,5,0,45,0,0,0,0,0,52,0,0,0,6,3,3,0,7,0,3,0,0,0,17,3,12,0,22,6,3,0,13,4,0,0,0,4,40,16,27,0,41,79,18,0,89,131,6,0,129,4,268,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,4,0,9,4,7,0,8,13,0,0,13,0,27,0,0,0,0,0,0,0,0,27,0,0,27,0,27,0,0,0,0,0,0,0,0
101021610,8,0,0,10,0,0,0,0,0,14,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,4,0,4,3,0,0,0,0,0,0,0,0,11,0,11,0,16,15,3,0,21,34,0,0,38,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0
101021611,29,3,0,35,3,0,0,3,0,43,3,3,0,12,9,6,0,14,0,0,0,0,0,21,3,17,0,21,4,20,0,26,0,0,0,0,0,45,15,30,0,42,53,30,0,90,110,0,0,110,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,5,8,5,0,11,14,0,0,13,5,37,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,0
101031013,3,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,8,0,12,5,0,0,5,0,16,0,8,0,8,6,11,0,14,25,4,0,25,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,3,0,9,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0
101031014,16,7,0,23,0,6,0,6,4,31,0,9,0,9,6,4,0,10,0,0,0,5,0,18,0,37,0,42,3,18,0,19,3,13,0,14,6,79,7,59,0,69,38,28,0,69,120,16,0,140,6,278,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,0,0,3,0,12,0,3,0,5,7,3,0,11,10,0,0,16,6,34,0,0,0,0,0,0,0,0,42,0,0,42,0,41,0,4,0,3,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,0,4,0,4,0,0,0,0,0,12,4,10,0,11,0,6,0,7,16,0,0,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,9,0,0,10,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0
101031016,86,47,0,130,4,7,0,10,0,151,3,19,0,26,13,25,0,41,5,3,0,4,0,68,5,29,0,33,5,26,0,35,4,11,0,11,8,90,14,64,0,80,126,100,0,228,109,17,0,121,12,439,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,12,0,0,0,0,5,0,0,5,0,0,0,0,4,4,0,3,0,3,0,0,0,0,0,0,0,0,0,14,0,10,0,10,6,0,0,11,30,0,0,29,8,65,0,0,0,0,0,0,0,0,40,0,0,40,0,39,0,4,0,4,0,0,0,0
101041017,16,9,0,19,0,3,0,3,0,36,0,9,0,9,5,6,0,10,0,0,0,0,0,21,0,38,0,38,6,12,0,24,0,8,0,12,4,80,5,63,0,77,36,28,0,62,167,13,0,184,10,330,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,3,15,0,16,0,13,0,0,0,8,28,0,0,28,6,56,0,0,0,3,0,0,0,0,43,0,0,43,0,49,0,6,0,7,0,0,0,0
101041018,5,0,0,6,0,0,0,0,0,7,0,3,0,4,3,0,0,3,0,0,0,0,0,6,6,7,0,7,0,4,0,9,0,3,0,3,6,26,4,19,0,24,9,5,0,17,35,3,0,36,8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,7,0,0,7,0,13,0,0,0,0,0,0,0,0,17,0,0,17,0,17,0,3,0,3,0,0,0,0
101041019,23,4,0,31,0,0,0,0,0,40,0,7,0,7,9,6,0,21,0,0,0,0,0,25,9,31,0,44,18,42,0,58,0,4,0,4,8,112,9,59,0,70,52,58,0,108,118,10,0,127,9,318,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,0,0,0,0,7,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,7,0,10,0,9,0,10,0,3,0,5,3,26,0,10,0,12,9,12,0,20,18,4,0,23,3,63,0,0,0,0,0,0,0,0,38,0,0,38,0,38,3,4,0,3,0,0,0,0
101041020,4,0,0,4,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,8,0,6,0,4,0,4,6,26,4,12,0,16,3,9,0,15,30,3,0,35,6,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,3,8,0,0,8,0,12,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0
101041021,4,0,0,8,0,0,0,0,0,11,3,0,0,8,3,3,0,3,0,0,0,0,0,14,0,10,0,16,4,8,0,14,0,0,0,0,7,35,5,25,0,32,17,14,0,30,31,4,0,34,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,12,0,0,12,0,13,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,6,0,0,7,0,0,0,0,0,6,0,9,0,9,0,0,0,0,0,0,0,0,0,6,0,14,0,13,5,5,0,8,0,0,0,0,0,21,6,20,0,22,11,3,0,16,31,0,0,31,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,10,0,15,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,3,0,3,0,0,0,0
101041024,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,14,0,13,0,0,0,0,0,4,0,0,4,21,0,14,0,15,3,0,0,4,16,3,0,19,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0
101041025,11,5,0,17,0,0,0,3,0,25,6,8,0,13,4,3,0,9,3,0,0,3,0,27,3,31,0,31,5,22,0,33,0,10,0,10,13,84,12,56,0,70,36,29,0,63,183,13,0,193,16,341,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,8,4,8,0,7,3,5,0,4,14,0,0,16,0,36,0,0,0,0,0,0,0,0,49,0,0,49,0,51,3,9,0,6,0,0,0,0
101041026,17,5,0,20,0,0,0,0,0,27,0,3,0,3,0,0,0,3,0,0,0,0,0,10,6,18,0,21,11,23,0,34,0,11,0,10,7,74,6,32,0,36,28,27,0,58,113,14,0,124,7,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,12,0,0,0,0,3,16,0,4,0,3,3,10,0,12,17,0,0,17,3,34,0,0,0,0,0,0,0,0,29,0,0,29,0,33,0,0,0,6,0,0,0,0
101041027,3,4,0,9,0,0,0,0,0,17,0,8,0,8,3,3,0,9,0,0,0,0,0,8,4,27,0,30,6,10,0,15,0,7,0,6,5,65,5,45,0,52,13,19,0,32,98,7,0,105,7,199,0,0,0,0,0,0,0,0,10,0,0,10,0,11,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,0,0,0,0,0,7,0,3,0,3,0,5,0,4,19,0,0,19,4,33,0,0,0,0,0,0,0,0,43,0,0,43,0,41,0,0,0,0,0,0,0,0
101051539,54,22,0,73,0,3,0,5,0,114,10,20,0,25,22,9,0,34,0,5,0,4,0,67,8,68,0,81,18,63,0,79,4,13,0,17,4,184,32,137,0,178,131,99,3,229,335,20,0,357,11,773,0,0,0,0,0,0,0,0,5,0,0,5,0,8,0,0,0,3,0,0,0,0,9,0,0,9,0,12,0,7,0,7,0,0,0,0,9,0,0,9,0,9,0,0,0,3,5,0,0,5,4,0,0,4,0,8,0,0,0,0,3,0,0,4,0,0,0,0,0,3,5,4,0,10,11,5,0,11,0,0,0,0,0,20,0,0,0,8,0,7,0,6,0,0,0,0,0,15,0,11,0,15,5,10,0,15,0,0,0,0,10,33,10,27,4,41,21,18,0,42,28,0,0,28,10,114,0,4,0,0,0,0,0,0,97,0,0,97,0,105,0,15,0,17,0,0,0,0
101051540,8,7,0,16,0,0,0,0,0,25,0,0,0,5,3,5,0,4,0,0,0,0,0,13,0,11,0,12,5,9,0,19,0,4,0,4,0,33,10,26,0,35,31,16,0,43,74,4,0,85,3,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,3,10,0,14,0,12,8,3,0,7,6,0,0,6,9,31,0,4,0,4,0,0,0,0,27,0,0,27,0,33,0,5,0,5,0,0,0,0
101061541,20,8,0,28,0,0,0,0,0,36,0,9,0,9,10,0,0,4,0,0,0,0,0,11,3,13,0,11,3,14,0,12,4,8,0,7,3,36,6,27,0,36,33,22,0,56,133,5,0,142,3,234,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,13,0,0,13,0,13,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,29,0,0,29,0,35,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,0,0,0,0,0,0,0
