POW_SA2_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,26,18,8,4,13,0,3,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,6,0,11,0,29,0,0,0,0,5,5,9,9,4,22,0,0,0,0,0,4,0,6,0,19,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,4,0,10,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,12,13,3,7,23,12,58,0,140,0,3,0,0,0,0,0,0,0,6
101021008,0,0,0,0,0,0,0,0,0,0,0,22,13,3,15,10,0,7,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,9,0,5,0,12,0,0,0,0,0,8,0,3,0,12,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,22,3,19,0,59,0,0,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,0,0,0,0,0,21,159,106,40,104,48,25,26,5,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,3,5,3,0,0,0,0,0,11,0,0,9,5,11,0,0,0,0,27,0,0,6,0,19,13,0,0,0,45,4,0,0,5,12,21,9,9,0,53,0,0,0,0,6,4,4,6,0,22,0,0,0,0,0,4,3,4,0,14,6,0,0,0,0,0,5,10,0,17,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,29,15,40,46,20,44,7,218,0,3,0,0,0,0,0,0,0,3
101021010,0,0,0,0,0,0,0,0,0,0,10,95,41,22,38,36,14,24,7,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,8,0,9,9,5,3,0,0,0,0,19,0,4,8,9,3,6,0,0,0,34,3,3,5,10,22,15,9,8,0,74,3,3,10,12,29,50,17,22,3,143,0,0,0,0,14,32,12,21,3,88,0,0,0,0,3,16,9,24,0,54,0,0,0,0,6,11,3,11,0,31,0,0,0,3,0,5,3,3,0,14,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,27,44,35,84,127,51,97,7,488,0,0,0,0,0,0,0,0,0,3
101021012,0,0,0,0,0,0,0,0,0,0,15,81,41,18,28,26,9,13,0,215,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,0,5,0,4,0,0,0,0,6,3,0,3,8,17,15,0,9,0,50,0,0,0,6,10,33,0,10,0,63,5,0,0,0,8,5,7,15,0,42,0,0,0,0,11,6,4,11,0,34,0,0,0,0,0,3,0,14,0,25,0,0,0,0,0,4,8,21,0,37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,21,5,22,49,72,25,87,0,294,0,0,0,0,0,0,0,0,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,24,7,4,6,7,0,5,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,3,3,3,0,25,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,0,0,0,0,0,0,7,46,27,11,17,23,0,18,0,151,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,3,0,3,0,0,0,0,11,0,0,0,0,11,18,0,0,0,35,0,0,0,0,0,8,0,13,0,28,0,0,0,0,4,9,0,12,6,28,0,0,0,0,0,3,0,7,0,15,8,0,0,0,0,5,3,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,13,6,22,33,9,46,7,170,0,0,0,0,0,0,0,0,0,3
101031013,0,0,0,0,0,0,0,0,0,0,4,16,11,6,14,6,3,8,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,5,0,4,0,10,0,0,0,0,5,4,3,10,0,27,0,0,0,0,0,10,4,6,0,29,0,0,0,0,0,3,7,22,0,41,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,3,10,20,12,62,3,141,0,0,0,0,0,0,0,0,0,4
101031014,0,0,0,0,0,0,0,0,0,0,22,125,73,45,80,61,12,25,6,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,8,5,0,0,0,0,0,0,6,0,0,8,0,4,0,0,0,0,16,0,0,5,3,0,4,0,0,0,19,5,4,3,11,9,4,0,6,0,40,0,0,0,0,13,16,6,14,0,56,0,0,3,0,8,12,8,12,0,40,3,0,0,0,0,0,0,14,0,22,0,0,0,0,4,0,0,6,0,15,0,0,0,0,0,0,0,16,0,27,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,24,30,19,40,46,19,85,4,278,0,0,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,8,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,5,0,0,0,9,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,6,8,5,22,0,52,0,0,0,0,0,0,0,0,0,5
101031016,0,0,0,0,0,0,0,0,0,5,10,120,98,55,58,52,18,27,4,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,9,0,4,5,5,4,0,0,0,0,15,0,6,12,9,3,4,0,0,0,39,0,8,21,11,12,11,0,0,0,65,0,8,19,19,21,11,0,0,0,84,0,0,10,12,12,12,4,7,0,71,0,3,5,3,9,9,3,13,0,50,0,6,0,4,13,10,6,3,0,35,0,0,0,0,0,7,7,4,0,25,0,0,0,0,0,0,4,3,0,8,0,0,0,0,4,3,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,16,40,86,70,82,67,29,38,8,427,0,0,0,0,0,0,0,5,0,8
101041017,0,0,3,0,0,0,0,0,0,9,46,212,123,70,151,70,23,23,15,731,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,7,0,8,4,3,0,4,0,0,0,23,0,0,4,4,13,4,0,0,0,33,3,0,8,3,25,12,0,3,0,56,3,5,3,0,13,21,5,12,0,70,0,0,0,0,7,13,0,6,0,28,0,0,0,0,0,3,4,10,0,20,0,0,0,0,0,3,0,5,0,9,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,12,37,26,22,61,56,17,40,3,278,0,0,0,0,0,0,0,0,0,11
101041018,0,0,0,0,0,0,0,0,0,0,7,50,22,8,16,13,5,10,5,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,3,6,3,0,6,0,34,0,0,0,0,0,0,0,0,0,0
101041019,0,0,0,0,0,0,0,0,0,3,19,154,93,48,82,54,17,23,13,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,0,0,12,0,9,4,3,0,0,0,0,0,20,0,0,9,0,5,3,0,0,0,26,0,0,0,6,14,10,3,0,0,42,6,0,3,0,17,26,13,12,0,73,3,0,4,5,22,8,9,6,5,55,0,0,0,0,12,8,4,5,0,23,3,0,0,0,0,7,0,0,0,18,0,0,0,0,3,4,3,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,16,21,37,16,76,66,26,36,5,299,0,0,0,0,0,0,0,0,0,5
101041020,0,0,0,0,0,0,0,0,0,0,0,14,11,8,8,9,0,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,8,3,0,4,0,6,6,0,0,0,21,0,0,0,0,4,4,0,4,0,18,0,0,0,0,0,3,0,3,0,16,0,0,0,0,4,0,0,6,0,9,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,6,13,22,13,32,6,107,0,0,0,0,0,0,0,0,0,0
101041021,0,0,0,0,0,0,0,0,0,0,0,25,8,10,11,8,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,5,7,35,27,14,19,10,8,8,6,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,3,0,3,0,16,0,0,0,0,6,10,0,6,0,28,0,0,0,0,5,3,4,12,0,26,0,0,0,0,3,0,0,6,0,12,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,14,25,6,40,3,104,0,0,0,0,0,0,0,0,0,0
101041024,0,0,0,0,0,0,0,0,0,0,3,20,12,4,11,4,3,0,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,18,0,3,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,11,0,4,19,0,17,0,72,0,0,0,0,0,0,0,0,0,3
101041025,0,3,0,0,0,0,0,0,0,6,29,189,114,42,73,52,10,26,5,557,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,8,0,15,6,0,0,0,0,0,0,13,0,6,9,7,13,5,0,0,0,27,0,7,5,3,21,14,0,5,0,50,0,3,0,4,10,12,0,9,0,47,0,4,0,0,3,0,0,6,0,17,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,34,24,14,44,40,10,38,6,211,3,3,0,0,0,0,0,0,0,3
101041026,0,0,0,0,0,0,0,0,0,3,16,117,46,28,63,37,4,5,3,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,10,0,8,6,0,0,4,0,0,0,21,0,4,4,6,8,0,0,0,0,23,4,0,9,3,20,15,4,4,0,53,0,0,0,6,15,16,8,12,0,54,0,0,0,0,9,5,4,12,0,32,0,0,0,0,0,7,0,9,0,20,0,0,0,0,3,5,0,9,0,17,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,19,14,59,53,18,48,3,250,0,0,0,0,0,0,0,0,0,6
101041027,0,0,0,0,0,0,0,0,0,3,19,108,67,36,65,25,4,14,13,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,13,0,3,4,4,0,0,0,0,0,19,0,0,0,0,5,3,0,0,0,17,0,0,0,0,0,11,0,0,0,19,0,0,3,0,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,18,5,16,22,8,11,3,107,0,0,0,0,0,0,0,0,0,0
101051539,0,0,0,0,7,0,0,0,0,8,66,371,207,95,175,119,26,63,12,1148,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,5,3,6,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,0,0,13,0,10,8,4,0,3,0,0,0,34,6,3,13,3,15,11,0,5,0,59,6,4,10,8,31,19,6,6,0,94,6,5,8,9,57,54,16,21,0,179,9,5,4,0,38,22,13,20,0,111,3,3,6,4,13,13,7,25,4,74,0,0,0,0,6,4,0,23,0,36,0,0,0,0,0,12,0,27,0,42,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,4,0,4,0,0,3,0,3,0,0,0,3,13,28,60,65,39,168,141,48,127,10,683,4,3,0,0,0,0,0,0,0,7
101051540,0,0,0,0,0,0,0,0,0,0,9,49,48,10,27,29,6,16,0,190,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,5,0,0,0,20,0,5,4,5,15,4,3,3,0,38,3,0,0,4,14,12,8,22,0,65,0,0,0,0,13,7,4,28,0,67,5,0,3,0,12,8,8,42,3,80,0,0,3,0,18,9,13,33,0,75,3,0,0,0,3,6,14,35,0,64,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,16,14,20,11,82,55,46,179,12,435,0,6,0,0,0,0,0,0,0,7
101061541,0,0,0,0,0,0,0,0,0,0,21,121,44,18,30,23,11,21,6,297,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,3,3,0,3,0,0,3,0,12,0,0,0,0,0,12,0,6,0,22,0,0,0,0,10,10,4,8,0,37,0,0,0,0,3,9,0,8,0,26,0,0,0,0,0,5,8,11,0,21,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,13,13,3,19,39,13,53,3,170,0,5,0,0,0,0,0,0,0,5
101061542,0,0,0,0,0,0,0,0,0,0,7,29,18,4,13,4,0,12,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,7,5,8,0,6,0,31,0,0,0,0,0,0,0,5,0,11,0,0,0,0,4,4,9,10,0,19,0,0,0,0,0,0,3,4,0,14,0,0,0,0,0,3,4,4,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,11,14,28,23,34,4,123,0,6,3,0,0,0,0,3,0,9
