POW_SA2_CODE_2021,UOLSE_NWNA_OthSvs_Bf_91,UOLSE_NWNA_OthSvs_91_95,UOLSE_NWNA_OthSvs_96_00,UOLSE_NWNA_OthSvs_01_05,UOLSE_NWNA_OthSvs_06_10,UOLSE_NWNA_OthSvs_11_15,UOLSE_NWNA_OthSvs_16_20,UOLSE_NWNA_OthSvs_2021,UOLSE_NWNA_OthSvs_NS,UOLSE_NWNA_OthSvs_Tot,UOLSE_NWNA_IDNS_Bf_91,UOLSE_NWNA_IDNS_91_95,UOLSE_NWNA_IDNS_96_00,UOLSE_NWNA_IDNS_01_05,UOLSE_NWNA_IDNS_06_10,UOLSE_NWNA_IDNS_11_15,UOLSE_NWNA_IDNS_16_20,UOLSE_NWNA_IDNS_2021,UOLSE_NWNA_IDNS_NS,UOLSE_NWNA_IDNS_Tot,UOLSE_NWNA_Tot_Bf_91,UOLSE_NWNA_Tot_91_95,UOLSE_NWNA_Tot_96_00,UOLSE_NWNA_Tot_01_05,UOLSE_NWNA_Tot_06_10,UOLSE_NWNA_Tot_11_15,UOLSE_NWNA_Tot_16_20,UOLSE_NWNA_Tot_2021,UOLSE_NWNA_Tot_NS,UOLSE_NWNA_Tot_Tot,NS_AGFF_Bf_91,NS_AGFF_91_95,NS_AGFF_96_00,NS_AGFF_01_05,NS_AGFF_06_10,NS_AGFF_11_15,NS_AGFF_16_20,NS_AGFF_2021,NS_AGFF_NS,NS_AGFF_Tot,NS_Min_Bf_91,NS_Min_91_95,NS_Min_96_00,NS_Min_01_05,NS_Min_06_10,NS_Min_11_15,NS_Min_16_20,NS_Min_2021,NS_Min_NS,NS_Min_Tot,NS_Mnf_Bf_91,NS_Mnf_91_95,NS_Mnf_96_00,NS_Mnf_01_05,NS_Mnf_06_10,NS_Mnf_11_15,NS_Mnf_16_20,NS_Mnf_2021,NS_Mnf_NS,NS_Mnf_Tot,NS_EGWWS_Bf_91,NS_EGWWS_91_95,NS_EGWWS_96_00,NS_EGWWS_01_05,NS_EGWWS_06_10,NS_EGWWS_11_15,NS_EGWWS_16_20,NS_EGWWS_2021,NS_EGWWS_NS,NS_EGWWS_Tot,NS_Const_Bf_91,NS_Const_91_95,NS_Const_96_00,NS_Const_01_05,NS_Const_06_10,NS_Const_11_15,NS_Const_16_20,NS_Const_2021,NS_Const_NS,NS_Const_Tot,NS_WST_Bf_91,NS_WST_91_95,NS_WST_96_00,NS_WST_01_05,NS_WST_06_10,NS_WST_11_15,NS_WST_16_20,NS_WST_2021,NS_WST_NS,NS_WST_Tot,NS_RetT_Bf_91,NS_RetT_91_95,NS_RetT_96_00,NS_RetT_01_05,NS_RetT_06_10,NS_RetT_11_15,NS_RetT_16_20,NS_RetT_2021,NS_RetT_NS,NS_RetT_Tot,NS_AcFd_Bf_91,NS_AcFd_91_95,NS_AcFd_96_00,NS_AcFd_01_05,NS_AcFd_06_10,NS_AcFd_11_15,NS_AcFd_16_20,NS_AcFd_2021,NS_AcFd_NS,NS_AcFd_Tot,NS_TPW_Bf_91,NS_TPW_91_95,NS_TPW_96_00,NS_TPW_01_05,NS_TPW_06_10,NS_TPW_11_15,NS_TPW_16_20,NS_TPW_2021,NS_TPW_NS,NS_TPW_Tot,NS_IMT_Bf_91,NS_IMT_91_95,NS_IMT_96_00,NS_IMT_01_05,NS_IMT_06_10,NS_IMT_11_15,NS_IMT_16_20,NS_IMT_2021,NS_IMT_NS,NS_IMT_Tot,NS_FinIns_Bf_91,NS_FinIns_91_95,NS_FinIns_96_00,NS_FinIns_01_05,NS_FinIns_06_10,NS_FinIns_11_15,NS_FinIns_16_20,NS_FinIns_2021,NS_FinIns_NS,NS_FinIns_Tot,NS_RHRE_Bf_91,NS_RHRE_91_95,NS_RHRE_96_00,NS_RHRE_01_05,NS_RHRE_06_10,NS_RHRE_11_15,NS_RHRE_16_20,NS_RHRE_2021,NS_RHRE_NS,NS_RHRE_Tot,NS_ProSTS_Bf_91,NS_ProSTS_91_95,NS_ProSTS_96_00,NS_ProSTS_01_05,NS_ProSTS_06_10,NS_ProSTS_11_15,NS_ProSTS_16_20,NS_ProSTS_2021,NS_ProSTS_NS,NS_ProSTS_Tot,NS_AdSup_Bf_91,NS_AdSup_91_95,NS_AdSup_96_00,NS_AdSup_01_05,NS_AdSup_06_10,NS_AdSup_11_15,NS_AdSup_16_20,NS_AdSup_2021,NS_AdSup_NS,NS_AdSup_Tot,NS_PubAS_Bf_91,NS_PubAS_91_95,NS_PubAS_96_00,NS_PubAS_01_05,NS_PubAS_06_10,NS_PubAS_11_15,NS_PubAS_16_20,NS_PubAS_2021,NS_PubAS_NS,NS_PubAS_Tot,NS_EdTrn_Bf_91,NS_EdTrn_91_95,NS_EdTrn_96_00,NS_EdTrn_01_05,NS_EdTrn_06_10,NS_EdTrn_11_15,NS_EdTrn_16_20,NS_EdTrn_2021,NS_EdTrn_NS,NS_EdTrn_Tot,NS_HC_SA_Bf_91,NS_HC_SA_91_95,NS_HC_SA_96_00,NS_HC_SA_01_05,NS_HC_SA_06_10,NS_HC_SA_11_15,NS_HC_SA_16_20,NS_HC_SA_2021,NS_HC_SA_NS,NS_HC_SA_Tot
101031016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
