POW_SA2_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
101021007,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,21,16,20,13,6,6,3,116,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,0,12,0,6,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,14,0,0,0,7,0,0,0,4,0,11,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
101021008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,24,19,10,24,9,3,7,0,102,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,6,0,3,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,4,0,9,0,22,18,5,5,0,59,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,23,70,106,71,280,129,36,38,9,758,0,4,0,0,0,0,0,0,0,9,5,59,0,0,0,0,0,0,0,63,0,30,8,0,0,0,0,0,0,40,0,21,11,0,0,0,0,0,0,35,8,21,27,0,0,0,0,0,0,54,7,11,27,5,6,0,0,0,0,54,3,10,21,14,25,4,0,0,0,74,0,3,6,10,28,15,4,0,0,69,0,0,3,3,14,10,9,10,0,54,0,0,0,0,11,13,3,0,0,32,0,0,0,0,10,4,0,0,0,24,0,0,0,0,9,0,0,6,0,14,0,0,0,0,4,3,0,0,0,15,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,3,0,7
101021010,0,0,0,0,11,11,7,8,0,30,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,8,40,40,30,101,77,20,22,0,344,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,36,3,30,8,3,0,0,0,0,0,41,0,9,0,0,0,0,0,0,0,16,0,5,11,5,0,0,0,0,0,16,0,4,3,0,3,0,0,0,0,25,0,4,9,5,8,5,0,0,0,32,0,4,6,4,8,5,0,0,0,25,0,6,0,8,11,9,0,4,0,29,0,0,0,0,4,7,7,0,0,19,0,0,0,0,0,4,0,9,0,15,0,0,0,0,0,4,5,4,0,9,0,0,0,0,3,11,5,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,0,3,0,0,5,5,0,0,0,24,0,0,5,0,0,0,0,0,0,12,0,6,0,0,0,3,6,3,0,8,0,0,0,0,0,0,0,0,0,0,14,31,47,35,70,53,12,22,0,284,0,0,0,0,0,0,0,0,0,4,5,42,0,0,0,0,0,0,0,44,0,19,6,0,0,0,0,0,0,22,0,9,5,0,0,0,0,0,0,20,0,6,7,0,0,0,0,0,0,9,0,4,12,0,3,0,0,0,0,19,0,0,10,4,7,3,0,0,0,24,0,0,0,4,5,7,0,0,0,22,0,0,0,5,3,3,0,0,0,17,0,0,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,3,17,15,3,0,0,66,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,4,3,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,0,0,0,6,9,4,8,0,31,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,88,42,30,60,49,18,18,6,310,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,23,0,9,5,0,0,0,0,0,0,20,0,3,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,7,0,6,6,3,0,0,0,0,0,14,0,3,3,0,0,0,0,0,0,15,0,0,0,0,8,5,0,0,0,17,0,0,0,4,3,4,0,4,0,15,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,0,0
101031013,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,17,25,16,4,3,0,87,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,10,0,4,6,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,4,0,3,0,3,0,0,0,0,0,10,5,0,0,4,5,0,0,0,0,11,0,0,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,3,0,0,4,16,12,3,3,0,34,0,0,0,0,0,3,0,3,0,7,0,0,0,3,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,30,60,79,52,168,103,19,34,3,539,0,3,0,0,0,0,0,0,0,4,0,46,3,0,0,0,0,0,0,50,3,18,4,0,0,0,0,0,0,26,0,13,5,3,0,0,0,0,0,24,0,11,14,0,0,0,0,0,0,32,0,16,23,0,7,3,0,0,0,51,3,10,15,23,18,5,3,0,0,79,4,0,4,18,43,18,0,0,0,93,0,0,6,0,12,16,4,0,0,40,0,0,0,0,0,6,4,6,0,20,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,4,0,8
101031015,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,15,7,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,4,0,0,5,7,3,0,0,23,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,14,62,67,61,94,52,19,35,0,411,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,41,0,14,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,12,0,13,9,0,0,0,0,0,0,16,6,12,16,7,3,0,3,0,0,48,0,10,21,17,13,5,0,0,0,68,0,19,26,16,18,12,5,3,0,96,6,10,9,9,12,23,4,3,0,65,0,3,0,0,9,3,0,0,0,14,0,4,4,0,7,3,3,5,0,27,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,4,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
101041017,5,0,3,3,4,4,6,10,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,38,83,113,77,200,98,25,54,3,679,0,0,0,0,0,0,0,0,0,0,7,53,3,0,0,0,0,0,0,61,3,54,5,0,0,0,0,0,0,72,3,27,12,4,3,0,0,0,0,51,5,29,24,6,3,5,0,0,0,69,8,19,43,14,9,3,0,0,5,105,0,14,22,18,31,0,0,0,5,96,0,4,8,18,54,17,4,0,4,111,0,7,3,10,37,18,5,4,0,89,3,5,0,0,3,10,3,0,0,20,0,0,0,0,5,7,0,0,0,16,3,0,0,0,3,6,0,4,0,20,0,6,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,4,0,15
101041018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,39,26,15,15,14,0,3,4,122,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,7,0,6,3,0,0,0,0,0,0,9,0,4,6,0,0,0,0,0,0,16,0,7,3,3,0,5,0,0,3,19,0,0,3,0,3,3,0,3,0,21,0,4,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041019,0,0,0,0,14,10,0,7,0,36,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,33,107,113,79,193,108,28,35,6,695,0,3,0,0,0,0,0,0,0,8,5,48,0,0,0,0,0,0,0,50,0,36,0,0,0,0,0,0,0,39,4,20,10,0,4,0,0,0,0,36,4,11,9,0,0,0,0,0,0,31,5,17,32,7,0,0,0,0,0,61,0,8,25,19,25,4,0,3,0,84,3,7,10,7,28,12,4,0,0,73,0,3,4,5,15,18,4,5,3,51,0,0,0,5,0,8,4,0,0,20,0,0,0,0,3,0,0,7,0,15,0,0,0,0,0,0,3,3,0,12,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
101041020,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,28,10,14,12,0,6,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,4,4,4,0,0,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,15,12,17,7,0,5,0,92,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,28,22,32,11,4,7,0,137,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,13,0,3,6,9,3,5,0,0,0,22,0,0,0,5,4,0,0,3,0,17,5,0,0,0,9,0,8,0,0,22,0,0,6,0,0,4,0,0,0,6,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,17,14,8,9,0,5,0,78,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,10,0,0,4,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041025,0,0,0,0,11,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,12,92,89,51,95,50,13,22,5,433,0,0,0,0,0,0,0,0,0,4,7,63,0,0,0,0,0,0,0,76,4,29,0,0,0,0,0,0,0,41,3,26,5,7,0,0,0,0,3,43,0,22,16,0,0,0,0,0,0,47,6,19,36,12,4,4,0,0,0,85,0,10,28,8,15,8,0,0,0,72,3,3,14,10,24,10,7,6,0,79,0,3,5,0,13,13,0,4,0,46,0,3,0,0,3,4,4,0,0,20,0,0,0,0,3,4,4,6,0,19,0,0,0,0,5,0,0,3,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
101041026,0,0,0,0,6,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,93,86,48,153,77,6,9,9,514,0,3,0,0,0,0,0,0,0,3,7,46,0,0,0,0,0,0,0,56,0,16,3,0,0,0,0,0,0,18,0,14,0,0,0,0,0,0,0,15,4,9,11,3,0,0,0,0,0,33,0,8,18,5,4,0,0,0,0,39,0,3,11,12,14,9,0,0,0,45,0,6,6,7,21,8,0,0,0,49,7,0,7,0,14,0,0,0,0,31,0,0,0,0,3,8,0,5,0,12,0,0,0,0,0,6,6,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
101041027,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,86,59,33,57,25,6,6,9,293,6,0,0,0,0,0,0,0,0,4,5,33,0,0,0,0,0,0,0,42,4,17,0,0,0,0,0,0,5,22,0,14,3,0,0,0,0,0,0,23,4,13,13,3,0,0,0,0,0,42,4,18,27,5,4,0,0,0,0,58,3,6,12,14,11,0,3,0,0,48,0,0,7,10,27,6,0,0,0,56,0,0,0,0,11,0,0,0,0,22,0,0,0,0,0,5,0,0,0,9,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
101051539,4,4,3,0,23,9,10,13,0,63,0,0,0,0,5,4,0,4,0,15,0,0,0,0,4,4,0,0,0,9,0,0,0,0,0,0,4,0,0,10,61,161,195,132,453,203,53,92,7,1355,0,3,0,0,0,0,0,0,0,7,15,156,0,0,0,0,0,0,3,171,8,67,7,3,0,0,0,0,3,88,12,47,18,5,0,0,0,0,3,76,0,46,45,3,4,0,0,0,0,99,7,25,59,18,11,5,0,0,7,134,13,24,50,29,40,13,9,4,3,169,0,9,16,18,59,24,3,8,0,140,3,0,4,6,37,32,6,7,0,98,0,3,4,0,8,24,3,12,0,56,0,0,5,0,7,5,3,3,0,24,0,0,3,0,3,3,6,4,0,24,0,0,0,0,4,9,0,7,0,15,0,0,0,0,5,0,0,6,0,9,0,0,0,0,0,3,0,11,0,18
101051540,0,0,0,4,7,9,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,81,66,29,78,51,9,18,9,342,0,0,0,0,0,0,0,0,0,4,0,25,0,0,0,0,0,0,0,27,0,7,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,9,0,3,8,0,0,0,0,0,0,20,0,3,16,0,3,0,3,0,0,31,0,0,6,0,8,3,0,0,0,24,5,0,5,5,11,4,6,0,0,30,0,0,0,0,9,4,0,0,0,18,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061541,0,5,5,0,5,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,9,50,55,34,62,34,8,17,0,276,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,0,3,50,8,35,0,0,0,0,0,0,0,46,0,10,4,0,0,0,0,0,0,23,0,3,7,0,0,0,0,0,0,15,0,9,9,0,0,4,0,0,0,30,0,3,10,6,8,3,0,0,0,37,0,5,4,3,14,3,0,4,0,39,4,0,4,0,5,8,0,0,0,25,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,5,0,0,9,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
101061542,0,3,0,0,0,6,0,5,0,10,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,56,41,16,31,34,3,13,0,216,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,4,0,4,9,0,4,0,0,0,0,11,0,0,4,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061543,3,5,5,0,3,4,3,3,0,24,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,23,84,97,65,172,93,19,30,3,584,0,6,0,0,0,0,0,0,0,11,6,63,4,0,0,0,0,0,0,71,3,28,3,0,0,0,0,0,0,45,0,17,15,0,0,3,0,4,0,39,3,14,13,3,0,4,0,0,3,43,0,16,27,11,11,0,0,5,4,74,9,18,23,18,19,5,0,3,5,96,0,4,7,11,39,23,11,0,0,98,3,3,5,0,14,15,9,6,0,61,0,0,0,0,0,8,0,4,0,22,0,0,0,0,3,0,0,4,0,23,0,0,0,0,3,7,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
