POW_SA2_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
101021007,42,11,18,3,15,0,20,9,0,122,25,15,14,0,9,3,18,7,0,95,22,14,12,0,6,0,12,0,0,64,28,21,15,0,5,0,21,5,3,98,5,3,0,0,0,0,3,0,0,17,17,13,0,0,0,5,11,9,6,47,4,3,0,0,0,0,0,0,0,15,337,148,171,83,94,84,128,141,12,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,13,13,29,6,6,3,9,5,0,86,8,11,48,6,15,0,7,5,0,98,10,15,23,3,8,0,5,3,0,64,12,15,30,3,3,0,7,0,5,83,3,7,0,0,5,0,0,0,0,20,4,3,6,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,83,89,237,112,82,69,62,72,6,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021009,45,86,84,36,37,34,18,22,5,382,51,83,54,36,28,24,14,16,7,308,32,83,30,16,18,9,17,11,6,216,77,110,38,11,16,9,8,10,0,279,25,22,5,4,0,11,0,4,0,59,26,58,3,0,4,7,0,3,4,102,4,0,3,4,3,0,0,0,10,23,397,680,603,686,417,519,203,386,54,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,5
101021010,47,25,131,27,47,19,82,37,5,429,54,28,101,10,24,15,55,21,7,317,40,19,66,6,11,9,31,10,4,203,83,20,68,3,25,16,14,9,4,246,37,12,0,0,9,0,6,0,0,63,34,6,3,0,0,0,3,0,0,59,5,0,6,0,3,0,3,5,0,31,394,189,791,132,305,276,474,328,40,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4
101021012,27,23,96,10,21,18,40,31,4,274,45,21,84,4,32,0,34,24,0,243,32,17,62,3,11,4,25,9,0,170,67,25,82,10,22,8,41,31,0,280,27,18,11,0,12,0,6,0,4,73,35,29,8,0,6,6,0,0,0,86,0,0,7,0,0,0,4,3,3,22,314,206,656,169,239,215,293,306,29,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021610,11,4,19,0,10,0,3,0,0,49,10,15,18,6,4,0,0,4,0,55,0,11,4,0,3,0,3,0,0,31,14,20,10,0,0,0,0,7,0,63,0,9,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,52,94,139,81,53,48,25,61,9,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,48,18,39,7,21,10,27,26,4,192,49,27,44,5,16,9,29,15,5,201,33,22,21,4,4,3,17,18,5,128,67,44,53,6,10,8,19,9,0,221,20,18,8,0,7,3,0,0,0,59,31,58,3,3,8,0,0,0,5,120,4,0,6,3,3,0,0,4,4,27,478,315,434,231,222,148,148,253,41,2264,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031013,20,10,15,4,9,4,19,17,0,96,19,8,14,0,4,0,34,6,0,91,20,9,6,0,0,0,11,8,0,55,30,10,8,0,7,4,9,0,0,65,4,0,0,0,0,0,0,0,0,11,9,3,4,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,4,240,67,98,76,70,72,128,157,4,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,38,60,49,19,38,20,35,23,4,293,45,61,30,13,18,15,20,7,0,197,34,49,31,4,16,0,12,6,0,160,51,139,52,16,24,14,25,19,3,337,29,45,33,0,10,3,8,3,0,126,57,43,32,0,14,8,7,10,0,166,9,9,3,5,0,0,0,4,0,27,418,562,478,344,381,442,247,324,37,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101031015,30,5,12,0,6,4,9,7,0,67,28,0,9,0,3,0,5,6,0,56,19,3,8,0,4,0,6,0,0,34,26,17,9,0,8,0,10,3,0,74,8,6,5,0,0,0,0,0,0,18,22,4,9,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,302,48,95,37,36,31,47,110,9,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,90,43,81,43,29,15,33,17,3,366,88,48,49,27,23,27,16,16,4,291,65,42,51,17,15,9,8,4,0,209,80,60,32,19,10,15,8,6,4,238,40,14,9,4,0,4,0,0,0,69,65,35,13,9,5,6,3,6,0,140,10,0,6,5,4,0,4,8,3,41,842,397,649,1102,323,425,408,638,47,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,9,8,0,0,0,0,4,0,0,0,8,14,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
101041017,79,44,68,28,48,20,28,23,0,346,53,42,53,8,27,16,11,7,4,239,30,31,25,12,17,20,7,14,0,150,61,51,25,12,17,5,7,6,0,180,26,13,8,0,5,0,0,0,0,52,26,14,6,5,4,15,5,5,0,77,0,0,10,4,6,6,4,3,0,29,549,354,644,467,454,725,270,498,35,4000,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,9,15,0,0,0,3,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041018,18,24,18,15,7,6,5,6,7,101,16,28,20,0,6,3,0,3,0,81,12,14,3,0,5,5,3,0,0,40,12,24,17,3,3,3,0,0,0,72,8,3,3,3,0,0,0,0,0,20,5,15,0,4,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,9,148,186,208,190,100,132,31,139,21,1161,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041019,55,106,56,43,52,16,42,67,0,445,48,94,29,14,37,15,18,48,3,309,43,69,20,13,4,12,10,18,0,190,84,91,34,8,19,8,12,18,4,280,18,15,13,0,5,0,0,0,0,56,16,44,4,0,4,4,3,3,4,75,7,6,0,3,0,3,0,0,0,31,452,753,506,591,470,490,243,673,36,4210,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101041020,36,15,13,4,4,0,16,12,0,91,30,12,16,3,0,0,10,9,0,83,26,7,10,0,4,0,8,5,0,56,23,23,13,4,3,0,7,4,0,73,11,0,0,0,3,0,0,0,0,12,10,8,4,0,0,0,0,0,0,17,14,3,0,0,0,0,0,0,0,13,557,171,212,102,93,46,106,202,22,1513,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041021,11,17,15,7,4,4,0,4,0,62,18,23,9,3,5,6,0,4,0,65,8,25,5,0,0,4,0,0,0,35,9,38,12,0,0,5,0,0,0,64,4,4,0,0,5,0,0,0,0,19,4,4,0,0,0,0,0,0,0,9,0,0,3,5,0,0,0,0,0,8,72,164,139,177,72,60,11,100,9,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,14,16,15,9,10,6,26,13,5,106,13,13,20,0,3,7,7,8,4,73,16,13,11,3,0,3,5,3,0,64,11,18,9,0,0,0,3,5,0,51,8,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,5,0,6,0,17,128,129,200,135,114,126,100,223,12,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041024,15,10,8,0,3,0,7,12,0,50,18,5,15,0,3,0,0,7,0,46,8,3,4,0,0,0,0,9,0,32,7,10,6,0,0,0,12,0,0,33,3,0,0,0,0,0,3,0,0,14,12,8,4,0,0,0,0,0,0,24,3,4,0,0,0,0,0,0,0,13,193,67,144,55,69,48,71,119,10,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041025,68,51,66,25,29,20,13,16,0,295,58,39,44,16,13,19,16,5,0,212,35,46,19,9,9,11,3,3,0,139,35,80,27,4,12,9,3,5,0,181,13,11,0,0,0,5,0,0,0,25,23,37,9,5,4,6,5,0,0,84,0,0,3,3,4,6,3,3,0,27,472,449,624,589,388,554,204,457,16,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041026,35,59,40,21,39,8,25,15,4,249,44,42,31,6,18,7,16,7,0,180,30,39,8,3,4,5,14,4,0,115,49,46,17,4,8,4,7,0,0,133,13,12,0,0,0,3,0,3,0,35,11,35,7,0,0,0,0,0,0,56,0,4,5,0,0,0,0,0,4,16,339,404,436,353,339,314,202,278,30,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,6,6,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
101041027,36,40,34,7,15,9,7,15,0,170,35,26,26,8,10,12,3,15,0,144,22,30,19,9,4,0,0,0,0,82,21,27,3,4,9,3,9,3,5,76,4,4,0,0,0,4,0,0,0,16,16,16,3,4,0,6,0,0,0,49,6,6,3,3,3,3,0,3,0,33,383,303,445,352,244,350,93,319,20,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,4,12,0,0,0,3,0,0,0,0,9,7,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
101051539,129,130,143,89,91,50,94,68,12,811,107,129,126,81,57,17,67,47,15,646,75,107,47,29,29,17,34,15,3,360,132,162,74,22,34,15,39,9,3,494,31,31,7,3,5,9,6,3,0,101,40,63,4,4,9,20,0,0,3,149,0,5,14,7,4,5,13,11,4,64,890,1028,1229,1253,881,1126,610,1194,86,8297,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,8,7,0,0,0,3,0,0,0,0,6,15,0,0,4,0,0,0,0,0,9,13,0,0,3,0,0,0,0,0,10,18,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8
101051540,104,25,45,18,31,6,66,23,0,317,119,30,42,3,18,3,81,10,3,311,63,19,46,6,10,0,70,9,4,234,105,41,83,0,11,0,60,15,3,332,54,14,18,3,0,0,5,3,7,106,84,31,15,0,3,0,4,5,4,132,15,0,0,0,3,0,3,4,0,28,1179,291,565,220,276,179,409,431,45,3598,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101061541,34,25,26,19,17,4,20,15,3,165,25,31,22,14,13,9,19,7,0,132,14,30,12,8,9,6,11,9,0,85,23,49,16,4,6,6,10,0,5,115,6,5,9,0,0,0,0,0,0,27,12,18,0,3,4,3,0,0,0,42,0,0,3,3,0,0,0,0,0,10,221,230,277,348,202,292,140,229,19,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061542,81,27,62,10,10,0,11,20,5,227,71,24,43,9,16,4,22,23,3,222,71,11,28,3,11,3,14,12,0,148,88,36,29,0,14,5,11,9,5,202,29,9,9,0,3,0,3,0,0,58,55,37,14,3,6,0,0,0,0,117,13,0,4,4,0,0,0,0,3,28,873,255,420,204,181,82,112,349,33,2514,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061543,62,56,76,26,38,20,35,28,3,343,53,68,52,8,33,23,14,19,0,258,45,49,28,11,13,8,9,9,0,163,73,84,24,8,18,7,4,0,3,222,13,12,6,0,10,0,4,0,0,46,30,33,10,0,5,4,0,4,0,92,12,5,0,6,5,5,0,3,0,36,564,524,640,497,465,586,222,552,36,4081,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,6,10,0,0,3,0,0,0,0,3,0,5,0,0,0,4,0,0,0,0,3,12,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3
