POW_SA2_CODE_2021,EWFT_15_TertVE_TPTP_FT,EWFT_15_TertVE_TPTP_PT,EWFT_15_TertVE_TPTP_NS,EWFT_15_TertVE_TPTP_Tot,EWFT_15_TertUni_or_OHE_FT,EWFT_15_TertUni_or_OHE_PT,EWFT_15_TertUni_or_OHE_NS,EWFT_15_TertUni_or_OHE_Tot,EWFT_15_Other_FT,EWFT_15_Other_PT,EWFT_15_Other_NS,EWFT_15_Other_Tot,EWFT_15_Not_Stated,EWFT_15_Tot,EWFT_16_TertVE_TPTP_FT,EWFT_16_TertVE_TPTP_PT,EWFT_16_TertVE_TPTP_NS,EWFT_16_TertVE_TPTP_Tot,EWFT_16_TertUni_or_OHE_FT,EWFT_16_TertUni_or_OHE_PT,EWFT_16_TertUni_or_OHE_NS,EWFT_16_TertUni_or_OHE_Tot,EWFT_16_Other_FT,EWFT_16_Other_PT,EWFT_16_Other_NS,EWFT_16_Other_Tot,EWFT_16_Not_Stated,EWFT_16_Tot,EWFT_17_TertVE_TPTP_FT,EWFT_17_TertVE_TPTP_PT,EWFT_17_TertVE_TPTP_NS,EWFT_17_TertVE_TPTP_Tot,EWFT_17_TertUni_or_OHE_FT,EWFT_17_TertUni_or_OHE_PT,EWFT_17_TertUni_or_OHE_NS,EWFT_17_TertUni_or_OHE_Tot,EWFT_17_Other_FT,EWFT_17_Other_PT,EWFT_17_Other_NS,EWFT_17_Other_Tot,EWFT_17_Not_Stated,EWFT_17_Tot,EWFT_18_TertVE_TPTP_FT,EWFT_18_TertVE_TPTP_PT,EWFT_18_TertVE_TPTP_NS,EWFT_18_TertVE_TPTP_Tot,EWFT_18_TertUni_or_OHE_FT,EWFT_18_TertUni_or_OHE_PT,EWFT_18_TertUni_or_OHE_NS,EWFT_18_TertUni_or_OHE_Tot,EWFT_18_Other_FT,EWFT_18_Other_PT,EWFT_18_Other_NS,EWFT_18_Other_Tot,EWFT_18_Not_Stated,EWFT_18_Tot,EWFT_19_TertVE_TPTP_FT,EWFT_19_TertVE_TPTP_PT,EWFT_19_TertVE_TPTP_NS,EWFT_19_TertVE_TPTP_Tot,EWFT_19_TertUni_or_OHE_FT,EWFT_19_TertUni_or_OHE_PT,EWFT_19_TertUni_or_OHE_NS,EWFT_19_TertUni_or_OHE_Tot,EWFT_19_Other_FT,EWFT_19_Other_PT,EWFT_19_Other_NS,EWFT_19_Other_Tot,EWFT_19_Not_Stated,EWFT_19_Tot,EWFT_20_24_TertVE_TPTP_FT,EWFT_20_24_TertVE_TPTP_PT,EWFT_20_24_TertVE_TPTP_NS,EWFT_20_24_TertVE_TPTP_Tot,EWFT_20_24_TertUni_or_OHE_FT,EWFT_20_24_TertUni_or_OHE_PT,EWFT_20_24_TertUni_or_OHE_NS,EWFT_20_24_TertUni_or_OHE_Tot,EWFT_20_24_Other_FT,EWFT_20_24_Other_PT,EWFT_20_24_Other_NS,EWFT_20_24_Other_Tot,EWFT_20_24_Not_Stated,EWFT_20_24_Tot,EWFT_25_29_TertVE_TPTP_FT,EWFT_25_29_TertVE_TPTP_PT,EWFT_25_29_TertVE_TPTP_NS,EWFT_25_29_TertVE_TPTP_Tot,EWFT_25_29_TertUni_or_OHE_FT,EWFT_25_29_TertUni_or_OHE_PT,EWFT_25_29_TertUni_or_OHE_NS,EWFT_25_29_TertUni_or_OHE_Tot,EWFT_25_29_Other_FT,EWFT_25_29_Other_PT,EWFT_25_29_Other_NS,EWFT_25_29_Other_Tot,EWFT_25_29_Not_Stated,EWFT_25_29_Tot,EWFT_30ov_TertVE_TPTP_FT,EWFT_30ov_TertVE_TPTP_PT,EWFT_30ov_TertVE_TPTP_NS,EWFT_30ov_TertVE_TPTP_Tot,EWFT_30ov_TertUni_or_OHE_FT,EWFT_30ov_TertUni_or_OHE_PT,EWFT_30ov_TertUni_or_OHE_NS,EWFT_30ov_TertUni_or_OHE_Tot,EWFT_30ov_Other_FT,EWFT_30ov_Other_PT,EWFT_30ov_Other_NS,EWFT_30ov_Other_Tot,EWFT_30ov_Not_Stated,EWFT_30ov_Tot,EWFT_Tot_TertVE_TPTP_FT,EWFT_Tot_TertVE_TPTP_PT,EWFT_Tot_TertVE_TPTP_NS,EWFT_Tot_TertVE_TPTP_Tot,EWFT_Tot_TertUni_or_OHE_FT,EWFT_Tot_TertUni_or_OHE_PT,EWFT_Tot_TertUni_or_OHE_NS,EWFT_Tot_TertUni_or_OHE_Tot,EWFT_Tot_Other_FT,EWFT_Tot_Other_PT,EWFT_Tot_Other_NS,EWFT_Tot_Other_Tot,EWFT_Tot_Not_Stated,EWFT_Tot_Tot,EWPT_15_TertVE_TPTP_FT,EWPT_15_TertVE_TPTP_PT,EWPT_15_TertVE_TPTP_NS,EWPT_15_TertVE_TPTP_Tot,EWPT_15_TertUni_or_OHE_FT,EWPT_15_TertUni_or_OHE_PT,EWPT_15_TertUni_or_OHE_NS,EWPT_15_TertUni_or_OHE_Tot,EWPT_15_Other_FT,EWPT_15_Other_PT,EWPT_15_Other_NS,EWPT_15_Other_Tot,EWPT_15_Not_Stated,EWPT_15_Tot,EWPT_16_TertVE_TPTP_FT,EWPT_16_TertVE_TPTP_PT,EWPT_16_TertVE_TPTP_NS,EWPT_16_TertVE_TPTP_Tot,EWPT_16_TertUni_or_OHE_FT,EWPT_16_TertUni_or_OHE_PT,EWPT_16_TertUni_or_OHE_NS,EWPT_16_TertUni_or_OHE_Tot,EWPT_16_Other_FT,EWPT_16_Other_PT,EWPT_16_Other_NS,EWPT_16_Other_Tot,EWPT_16_Not_Stated,EWPT_16_Tot,EWPT_17_TertVE_TPTP_FT,EWPT_17_TertVE_TPTP_PT,EWPT_17_TertVE_TPTP_NS,EWPT_17_TertVE_TPTP_Tot,EWPT_17_TertUni_or_OHE_FT,EWPT_17_TertUni_or_OHE_PT,EWPT_17_TertUni_or_OHE_NS,EWPT_17_TertUni_or_OHE_Tot,EWPT_17_Other_FT,EWPT_17_Other_PT,EWPT_17_Other_NS,EWPT_17_Other_Tot,EWPT_17_Not_Stated,EWPT_17_Tot,EWPT_18_TertVE_TPTP_FT,EWPT_18_TertVE_TPTP_PT,EWPT_18_TertVE_TPTP_NS,EWPT_18_TertVE_TPTP_Tot,EWPT_18_TertUni_or_OHE_FT,EWPT_18_TertUni_or_OHE_PT,EWPT_18_TertUni_or_OHE_NS,EWPT_18_TertUni_or_OHE_Tot,EWPT_18_Other_FT,EWPT_18_Other_PT,EWPT_18_Other_NS,EWPT_18_Other_Tot,EWPT_18_Not_Stated,EWPT_18_Tot,EWPT_19_TertVE_TPTP_FT,EWPT_19_TertVE_TPTP_PT,EWPT_19_TertVE_TPTP_NS,EWPT_19_TertVE_TPTP_Tot,EWPT_19_TertUni_or_OHE_FT,EWPT_19_TertUni_or_OHE_PT,EWPT_19_TertUni_or_OHE_NS,EWPT_19_TertUni_or_OHE_Tot,EWPT_19_Other_FT,EWPT_19_Other_PT,EWPT_19_Other_NS,EWPT_19_Other_Tot,EWPT_19_Not_Stated,EWPT_19_Tot,EWPT_20_24_TertVE_TPTP_FT,EWPT_20_24_TertVE_TPTP_PT,EWPT_20_24_TertVE_TPTP_NS,EWPT_20_24_TertVE_TPTP_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,6,0,7,0,7,0,8,0,11,0,0,0,0,0,22,5,18,0,22,0,8,0,11,0,0,0,0,6,40,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,11,0,0,11,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,6,0,0,6,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,3
101021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,9,0,3,0,6,0,4,0,4,0,17,0,4,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,8,0,11,0,6,0,0,0,16,4,18,0,22,3,11,0,16,0,6,0,9,0,50,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
101021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,3,11,0,15,0,0,0,0,0,0,0,0,0,15,3,8,0,9,0,0,0,0,0,0,0,0,0,9,6,40,0,43,9,15,0,26,0,5,0,5,0,71,3,19,0,24,10,30,0,37,0,0,0,4,0,70,10,58,0,74,14,93,0,107,5,18,0,18,6,205,29,144,0,172,33,143,0,176,3,27,0,24,7,390,0,0,0,0,0,0,0,0,41,0,0,41,0,34,0,0,0,0,0,0,0,0,55,0,0,55,0,55,0,0,0,0,0,0,0,0,50,0,0,50,0,57,0,3,0,7,26,3,0,28,18,0,0,18,0,51,0,8,0,8,27,0,0,34,0,0,0,0,0,36,12,5,0,14
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,6,5,7,0,11,0,0,0,0,0,0,0,0,0,11,12,34,0,44,6,5,0,8,0,3,0,4,0,59,5,10,0,24,10,10,0,16,0,0,0,3,0,38,8,32,0,39,4,15,0,21,0,13,0,12,3,69,27,100,0,133,12,27,0,45,4,14,0,19,9,196,0,0,0,0,0,0,0,0,48,0,0,48,0,48,0,0,0,0,0,0,0,0,28,0,0,28,0,30,0,0,0,0,0,0,0,0,28,0,0,28,0,28,0,5,0,5,6,0,0,9,12,0,0,12,0,17,0,0,0,3,15,0,0,16,0,0,0,0,0,15,5,6,0,9
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,19,0,16,0,0,0,0,0,0,0,0,0,16,0,10,0,10,0,0,0,0,0,0,0,0,0,10,8,25,0,30,6,5,0,7,6,4,0,3,0,47,7,16,0,25,4,7,0,8,0,3,0,4,0,37,5,29,0,28,0,16,0,17,5,4,0,9,3,53,16,94,0,112,11,26,0,33,10,10,0,16,4,174,0,0,0,0,0,0,0,0,24,0,0,24,0,24,0,0,0,0,0,0,0,0,48,0,0,48,0,48,0,0,0,0,0,0,0,0,35,0,0,35,0,35,0,0,0,0,13,0,0,13,17,0,0,17,0,28,4,4,0,7,17,0,0,18,0,0,0,0,0,25,3,8,0,7
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,0,0,3,0,4,0,4,0,11,0,6,0,7,0,4,0,5,0,0,0,0,0,13,0,5,0,8,0,5,0,7,0,3,0,3,0,18,3,28,0,31,6,12,0,14,0,9,0,9,3,51,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,11,0,0,11,0,14,0,0,0,0,0,0,0,0,5,0,0,5,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,7
101021611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,8,0,11,0,0,0,0,0,0,0,0,0,11,4,7,0,14,3,15,0,12,6,6,0,3,0,36,0,12,0,12,4,27,0,31,0,0,0,3,0,51,0,34,0,36,9,91,0,103,0,9,0,9,6,152,12,64,0,77,19,134,0,150,6,16,0,17,6,248,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,0,0,0,0,0,0,0,41,0,0,41,0,41,0,0,0,3,0,0,0,0,38,0,0,38,0,45,0,0,0,3,13,0,0,9,6,0,0,6,0,20,5,0,0,8,0,0,0,5,0,0,0,0,0,9,0,3,0,6
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,5,0,0,0,0,0,9,0,3,0,3,0,4,0,4,0,0,0,0,0,6,0,10,0,10,0,8,0,8,0,0,0,0,3,24,6,21,0,23,0,11,0,16,0,0,0,0,6,42,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,16,3,5,0,11,5,0,0,4,0,0,0,0,0,16,0,29,0,29,8,11,0,21,0,0,0,5,0,54,0,15,0,17,3,6,0,11,0,0,0,0,0,30,3,52,0,54,3,56,0,64,0,4,0,9,8,133,9,116,0,128,22,71,0,95,0,4,0,10,10,248,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,4,0,7,0,0,0,0,33,0,0,33,0,39,0,4,0,4,0,0,0,0,39,0,0,39,0,42,0,0,0,0,4,0,0,4,9,0,0,9,0,11,0,6,0,6,3,0,0,3,0,0,0,6,0,15,3,3,0,7
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,9,0,4,0,5,0,3,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,3,7,20,0,22,14,14,0,34,0,0,0,0,0,56,6,28,0,33,10,17,0,24,0,4,0,4,0,58,12,39,0,53,3,37,0,39,0,4,0,6,11,104,25,96,0,126,31,67,0,97,0,14,0,14,11,242,0,0,0,0,0,0,0,0,29,0,0,29,0,31,0,0,0,0,0,0,0,0,35,0,0,35,0,33,0,4,0,4,0,0,0,0,25,0,0,25,0,28,0,0,0,0,10,3,0,6,9,0,0,9,0,16,0,6,0,6,15,0,0,19,0,0,0,4,0,25,3,9,0,11
101041017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,13,0,13,0,0,0,0,0,0,0,0,0,19,5,25,0,27,3,3,0,4,0,4,0,11,4,41,4,22,0,28,4,0,0,3,0,0,0,0,0,31,5,37,0,41,6,29,0,31,0,10,0,11,7,97,18,111,0,125,10,33,0,49,3,16,0,18,14,203,0,0,0,0,0,0,0,0,41,0,0,41,0,40,0,3,0,7,0,0,0,0,49,0,0,49,0,52,0,4,0,5,0,0,0,0,48,0,0,48,4,53,0,0,0,0,0,0,0,0,28,0,0,32,0,29,0,0,0,0,3,0,0,7,4,0,0,4,0,14,3,8,0,16
101041018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,8,0,6,0,4,0,0,0,0,0,0,0,0,0,4,4,5,0,6,0,3,0,3,0,0,0,0,0,14,0,3,0,3,4,0,0,3,0,0,0,0,0,4,3,15,0,15,0,13,0,13,0,0,0,0,3,36,5,27,0,32,3,17,0,19,0,0,0,0,3,61,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,3,0,3,0,0,0,0,10,0,0,10,0,16,0,0,0,0,0,0,0,0,5,0,0,5,0,7,0,3,0,3,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
101041019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,3,7,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,23,0,26,0,4,0,7,0,0,0,0,0,35,5,15,0,16,3,8,0,12,0,0,0,0,0,34,8,42,0,47,10,71,0,81,0,10,0,7,11,153,16,92,0,108,16,91,0,103,3,12,0,8,15,244,0,0,0,0,0,0,0,0,32,0,0,32,0,32,0,4,0,4,0,0,0,0,42,0,0,41,0,42,0,0,0,0,0,0,0,0,28,0,0,28,0,35,0,0,0,3,0,0,0,0,19,0,0,19,0,19,3,0,0,8,0,0,0,5,0,0,0,0,0,6,0,10,0,10
101041020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,5,0,0,3,18,0,29,0,32,4,0,0,6,4,5,0,3,3,40,0,0,0,3,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,4,0,4,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,9,0,0,0,3,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,12,0,12,0,0,0,0,3,23,3,19,0,22,0,15,0,12,0,0,0,0,3,46,0,0,0,0,0,0,0,0,9,0,0,9,0,13,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,3,0,3,3,0,0,3,0,0,0,0,0,7,0,9,0,8
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,13,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,8,0,12,0,0,0,0,0,25,3,25,0,31,0,8,0,12,0,0,0,0,0,43,0,0,0,0,0,0,0,0,8,0,0,8,0,10,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,10,0,0,10,0,9,0,0,0,0,6,0,0,6,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,11,0,3,0,3,0,0,0,0,3,16,3,18,0,22,0,6,0,5,0,0,0,0,3,34,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
101041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,11,0,9,0,0,0,0,0,0,0,0,0,13,5,19,0,28,0,5,0,9,0,0,0,0,0,32,5,3,0,11,0,8,0,8,0,0,0,0,0,21,0,31,0,35,3,22,0,26,0,4,0,5,7,76,23,80,0,99,12,31,0,41,4,7,0,10,12,163,0,0,0,0,0,0,0,0,48,0,0,48,0,50,0,0,0,4,0,0,0,0,56,0,0,56,0,57,0,3,0,3,0,0,0,0,48,0,0,48,0,57,0,5,0,4,0,0,0,0,24,0,0,24,0,32,0,4,0,4,7,0,0,6,3,0,0,3,0,17,0,9,0,7
101041026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,12,0,14,0,14,0,0,0,0,0,0,0,0,0,17,0,18,0,19,0,6,0,6,0,0,0,3,5,29,0,18,0,21,4,7,0,8,0,0,0,0,0,28,0,33,4,35,5,34,0,34,3,4,0,9,18,93,3,92,3,98,7,47,0,56,8,7,0,14,20,185,0,0,0,0,0,0,0,0,29,0,0,29,0,27,0,0,0,0,0,0,0,0,42,0,0,42,0,46,0,0,0,0,0,0,0,0,27,0,0,27,0,27,0,3,0,3,0,0,0,0,15,0,0,15,0,13,0,0,0,0,6,0,0,4,0,0,0,0,0,3,0,6,0,6
101041027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,15,0,0,0,0,0,5,0,5,0,20,4,7,0,7,3,3,0,10,0,0,0,0,0,18,4,18,0,18,0,7,0,12,0,6,0,9,6,43,16,45,0,66,9,16,0,18,5,6,0,15,6,102,0,0,0,0,0,0,0,0,29,0,0,29,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,33,0,4,0,4,0,0,0,0,33,0,0,33,0,31,0,4,0,4,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3
101051539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,17,0,18,0,0,0,0,0,0,0,0,0,21,6,18,0,26,0,0,0,0,0,0,0,0,0,28,0,23,0,27,0,0,0,0,0,3,0,3,0,36,17,61,0,79,23,13,0,35,3,8,0,10,5,124,7,31,0,36,14,24,0,33,4,0,0,6,0,79,12,116,5,127,23,112,0,135,6,27,0,27,8,302,44,274,5,322,51,155,0,208,11,37,0,50,12,589,0,0,0,3,0,0,0,0,94,0,0,94,0,97,0,13,0,13,0,0,0,0,102,0,0,102,0,111,0,4,0,9,0,0,0,0,97,0,0,97,0,108,0,8,0,8,11,0,0,17,28,0,0,29,0,49,4,4,0,8,24,5,0,29,3,0,0,3,0,39,12,22,0,32
101051540,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,8,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,10,0,10,0,0,0,0,0,0,0,0,0,8,4,13,0,23,0,3,0,12,0,0,0,0,0,33,0,11,0,15,0,4,0,4,0,0,0,0,3,20,3,25,0,26,8,15,0,26,0,4,0,5,5,59,10,79,0,93,14,25,0,38,0,12,0,12,3,144,0,0,0,0,0,0,0,0,28,0,0,28,0,26,0,0,0,0,0,0,0,0,21,0,0,21,0,20,0,0,0,3,0,0,0,0,24,0,0,24,4,32,0,0,0,0,0,0,0,0,10,0,0,10,0,15,0,0,0,0,8,0,0,8,0,0,0,0,0,9,0,6,0,9
101061541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,13,0,11,0,0,0,0,0,0,0,0,0,11,6,12,0,17,4,10,0,11,0,0,0,0,0,32,7,5,0,12,0,12,0,12,0,4,0,6,0,23,5,28,0,33,0,17,0,17,0,0,0,3,5,64,14,63,0,78,4,34,0,40,0,9,0,10,5,131,0,0,0,0,0,0,0,0,32,0,0,32,0,32,0,0,0,0,0,0,0,0,47,0,0,47,0,47,0,3,0,3,0,0,0,0,42,0,0,42,0,45,0,0,0,0,5,0,0,8,13,0,0,13,0,15,0,3,0,4,3,0,0,3,0,0,0,0,0,11,3,5,0,10
