POW_SA2_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
101021007,10,9,0,0,24,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,9,15,0,0,19,0,0,0,0,0,8,9,0,0,11,0,12,0,0,9,3,5,0,0,9,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,15,9,0,0,20,0,0,0,0,0,0,0,0,0,3,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,4,61,73,3,0,138,74,18,0,0,95,6,0,0,0,6,12,3,0,0,14,0,0,0,0,0,26,3,0,0,28,3,0,0,0,3,16,0,0,0,15,0,7,0,0,7,3,0,0,0,8,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,21,0,0,0,21,4,0,0,0,4,0,0,0,0,0,10,3,0,0,9,7,4,0,0,10,13,4,0,0,17,11,5,0,0,12
101021008,0,0,0,0,0,0,0,0,0,0,0,7,3,0,12,0,0,0,0,0,13,23,0,0,41,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,3,0,0,3,4,0,0,0,6,3,7,0,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,7,39,61,5,0,105,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,21,6,3,0,26,0,3,0,0,4,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,6,0,0,0,10,0,0,0,0,0,4,0,0,0,5,21,0,0,0,21,0,0,0,0,0,4,0,0,0,4
101021009,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,13,32,3,0,47,0,0,0,0,7,4,13,0,0,18,0,30,3,0,29,3,4,0,0,8,0,0,0,0,0,0,6,0,0,6,6,9,0,0,15,8,17,0,0,35,6,4,0,0,14,0,3,0,0,3,0,6,0,0,6,14,31,9,0,59,0,0,0,0,0,5,22,0,0,30,4,8,0,0,11,75,192,30,3,299,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,29,12,0,0,41,0,0,0,0,0,3,4,0,0,6,5,10,0,0,13,14,0,0,0,10,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,8,9,0,0,19,13,7,0,0,16,0,0,0,0,8,8,0,0,0,5,39,3,0,0,47,10,3,0,0,10,19,11,0,0,30
101021010,0,0,0,0,0,0,0,0,0,0,4,52,8,0,65,0,0,0,0,0,10,67,10,0,85,0,7,3,0,9,0,12,0,0,19,0,7,3,0,6,3,8,7,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,6,6,4,0,19,4,9,0,0,10,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,0,0,30,0,3,0,0,12,44,215,41,0,293,0,0,0,0,0,0,0,0,0,0,9,6,0,0,12,0,0,0,0,4,24,8,0,0,33,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,11,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,7,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,14,7,0,0,20
101021012,0,0,0,0,0,0,0,0,0,0,6,26,6,0,33,0,4,0,0,4,27,90,13,0,130,0,4,0,0,3,0,0,0,0,3,0,6,0,0,7,5,7,0,0,18,0,5,0,0,3,4,4,0,0,5,6,0,0,0,8,16,18,0,0,35,4,3,0,0,12,6,6,4,0,14,0,0,0,0,0,9,3,0,0,14,0,0,0,0,0,12,18,0,0,31,5,12,0,0,11,91,207,31,0,332,3,0,0,0,3,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,30,12,0,0,43,0,0,0,0,4,8,4,0,0,12,0,0,0,0,0,15,6,0,0,16,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,18,0,0,0,18,13,6,0,0,16,0,0,0,0,0,8,0,0,0,12,15,0,0,0,15,0,0,0,0,0,19,11,0,0,28
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,26,42,11,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,4,0,0,10,0,0,0,0,0,4,0,0,0,4,10,0,0,0,9,3,0,0,0,3,8,0,0,0,9
101021611,14,20,0,0,31,0,0,0,0,0,7,12,0,0,19,0,3,0,0,3,44,87,0,0,135,0,6,0,0,3,3,10,0,0,14,0,13,0,0,10,4,18,0,0,21,0,3,0,0,3,3,4,0,0,7,8,12,0,0,18,42,37,3,0,82,0,9,0,0,13,0,5,6,0,12,9,0,0,0,7,3,9,0,0,10,0,0,0,0,0,14,10,0,0,25,11,3,0,0,9,173,249,13,0,438,51,18,0,0,73,0,0,0,0,0,18,5,0,0,20,0,0,0,0,0,57,15,0,0,76,0,0,0,0,0,16,4,0,0,19,5,0,0,0,10,9,5,0,0,12,7,0,0,0,4,10,0,0,0,10,0,0,0,0,0,34,5,0,0,44,19,4,0,0,22,6,0,0,0,6,22,4,0,0,22,17,6,0,0,16,14,6,0,0,17,26,8,0,0,38
101031013,11,17,0,0,28,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,10,0,0,10,0,0,0,0,0,0,9,0,0,13,0,6,0,0,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,60,3,0,76,36,34,0,3,71,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,13,0,0,0,18,0,0,0,0,0,3,3,0,0,11,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,5,0,0,0,5
101031014,0,9,0,0,9,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,11,30,0,0,44,3,6,0,0,8,7,23,0,0,32,0,16,0,0,20,5,6,0,0,12,0,7,0,0,7,0,3,0,0,6,0,5,0,0,9,10,10,0,0,21,0,5,0,0,5,0,0,0,0,0,5,3,0,0,3,0,8,0,0,12,0,0,0,0,0,0,9,0,0,12,0,0,5,0,0,43,158,15,0,213,0,3,0,0,9,0,0,0,0,0,4,8,0,0,12,0,0,0,0,0,44,9,0,0,50,0,0,0,0,4,9,17,8,0,33,9,15,0,0,20,7,3,0,0,15,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,9,6,0,0,17,6,4,0,0,12,0,0,0,0,0,0,4,0,0,9,14,5,0,0,13,4,4,0,0,6,22,3,0,0,31
101031015,9,10,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,11,6,0,0,21,0,0,0,0,0,0,5,0,0,9,5,3,0,0,3,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,8,35,45,3,0,87,70,45,0,0,125,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,13,0,0,0,17,0,0,0,0,0,3,0,0,0,3,11,0,0,0,12,0,3,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4
101031016,5,9,0,0,17,0,0,0,0,0,6,15,0,0,16,0,0,0,0,3,22,38,5,0,66,0,3,0,0,6,4,34,3,0,35,14,76,9,0,96,0,11,0,0,15,6,3,0,0,5,8,5,0,0,12,3,19,0,0,20,17,25,0,0,45,3,13,0,0,13,0,4,0,0,3,4,3,0,0,5,8,9,0,0,14,7,4,0,0,12,0,9,0,0,10,9,3,0,0,8,110,283,26,0,419,45,43,0,0,88,0,0,0,0,0,9,3,0,0,11,0,0,0,0,0,50,13,0,0,62,0,0,0,0,0,11,9,0,0,19,45,32,0,0,77,6,7,0,0,13,4,0,0,0,4,7,0,0,0,4,4,5,0,0,6,34,7,0,0,37,15,3,3,0,18,0,0,0,0,0,18,0,0,0,18,25,6,0,0,34,3,0,0,0,8,21,11,0,0,27
101041017,0,12,0,0,10,0,0,0,0,0,0,19,5,0,23,0,0,0,0,0,15,35,8,0,59,0,7,4,0,11,5,27,3,0,44,0,21,5,0,27,7,15,4,0,22,0,6,0,0,4,0,0,0,0,5,0,16,0,0,15,8,11,3,0,20,5,0,0,0,6,0,3,0,0,3,0,0,3,0,3,4,16,0,0,18,0,0,0,0,0,4,12,3,0,12,5,9,0,0,11,54,204,28,0,289,5,7,0,0,9,0,0,0,0,0,8,8,0,0,10,0,0,0,0,0,64,19,0,3,91,6,0,0,0,6,11,21,0,0,27,11,19,0,0,31,9,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,8,0,0,29,21,4,0,0,31,0,5,0,0,5,11,0,0,0,13,23,3,0,0,27,4,0,0,0,4,39,27,0,0,60
101041018,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,12,24,0,0,40,0,0,0,0,0,4,10,3,0,13,0,15,4,0,16,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,3,9,0,0,4,10,9,0,0,15,5,0,0,0,4,3,0,0,0,8,0,4,0,0,5,5,3,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,44,76,7,0,134,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,55,20,0,0,70,6,0,0,0,6,14,4,0,0,15,7,8,0,0,17,4,0,0,0,8,0,0,0,0,0,4,0,0,0,4,8,0,0,0,8,16,4,0,0,21,12,3,0,0,19,0,0,0,0,0,10,0,0,0,4,21,0,0,0,22,4,0,0,0,4,10,8,0,0,13
101041019,0,9,0,0,13,0,0,0,0,0,5,3,5,0,11,0,3,0,0,3,16,39,0,0,55,0,11,0,0,11,4,18,3,0,24,6,17,0,0,23,5,16,5,0,24,0,3,0,0,3,0,0,0,0,3,4,10,0,0,12,8,26,7,0,39,0,5,0,0,5,0,0,0,0,0,3,3,0,0,8,5,14,0,0,24,0,0,0,0,4,0,13,0,0,11,6,0,0,0,3,73,181,23,4,281,15,4,0,0,13,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,38,20,0,0,57,0,5,0,0,8,6,10,0,0,20,0,12,0,0,21,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,37,22,5,0,0,24,5,0,0,0,5,23,0,0,0,19,69,9,5,0,76,14,0,0,0,14,27,19,0,0,47
101041020,19,26,0,0,38,0,0,0,0,0,0,11,0,0,13,0,0,0,0,4,13,22,0,0,37,0,8,0,0,8,0,5,0,0,5,0,3,0,0,8,8,7,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,8,0,0,30,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,3,0,0,0,5,5,0,0,0,3,3,0,0,0,3,13,3,0,0,12,91,98,3,0,185,129,69,0,5,198,0,0,0,0,0,21,3,0,0,21,0,0,0,0,0,55,15,0,0,67,5,0,0,0,5,17,0,0,0,15,5,7,0,0,12,5,4,0,0,9,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,32,0,0,0,31,15,0,0,0,14,0,0,0,0,0,9,0,0,0,9,21,0,0,0,21,10,0,0,0,10,18,5,0,0,26
101041021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,31,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,5,0,0,12,0,6,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,6,0,67,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,9,0,0,40,0,0,0,0,0,0,0,0,0,0,3,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,13,7,0,0,0,7,0,0,0,0,0,3,0,0,0,3,12,0,0,0,8,0,0,0,0,0,4,0,0,0,8
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,10,0,0,6,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,6,12,5,0,24,0,0,0,0,0,0,4,0,0,11,0,11,0,0,11,5,9,6,0,7,0,0,0,0,0,0,0,0,0,0,3,6,0,0,8,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6,0,0,0,6,24,68,14,0,112,5,0,0,0,10,0,0,0,0,0,6,6,0,0,9,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,4,9,0,0,6,5,4,0,0,12,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,9,6,0,0,0,6,11,12,0,0,18
101041024,3,10,0,0,7,0,0,0,0,3,5,0,0,0,3,0,3,0,0,3,4,17,0,0,23,0,0,0,0,0,0,4,0,0,4,0,8,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,10,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,60,3,0,86,25,14,0,0,44,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,28,4,0,0,35,0,0,0,0,0,8,4,0,0,13,4,4,0,0,9,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,13,7,0,0,13
101041025,0,20,0,0,21,0,0,0,0,0,3,12,7,0,22,0,0,0,0,0,18,57,3,0,81,0,3,0,0,3,7,43,0,0,55,7,30,0,0,43,5,11,3,0,14,3,9,0,0,7,5,8,0,0,12,3,11,4,0,13,21,22,4,0,47,4,5,4,0,17,0,0,0,0,0,4,6,4,0,11,5,15,0,0,25,0,3,0,0,9,5,11,0,0,18,0,11,0,0,11,94,267,23,0,393,12,6,0,0,24,0,0,0,0,0,12,10,5,0,21,0,0,0,0,0,70,22,0,0,90,0,0,0,0,4,22,23,0,0,45,28,36,0,0,66,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,5,4,0,0,7,31,3,0,0,37,23,9,0,0,31,0,0,0,0,0,10,0,0,0,16,55,7,0,0,59,8,0,0,0,15,32,14,0,0,44
101041026,3,4,0,0,12,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,9,43,4,0,56,0,0,0,0,0,0,25,11,0,36,3,10,7,0,20,0,6,9,0,11,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,12,20,0,0,31,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,4,10,0,0,18,0,3,0,0,9,0,5,0,0,3,0,6,0,0,12,50,151,26,0,221,15,6,0,0,18,0,0,0,0,0,9,10,0,0,19,0,0,0,0,3,42,26,0,0,67,0,0,0,0,0,10,20,0,0,28,3,18,0,0,25,3,3,0,0,5,0,0,0,0,0,3,0,0,0,3,5,0,0,0,5,38,8,0,0,42,19,0,0,0,26,0,0,0,0,0,7,0,0,0,7,35,11,0,0,48,21,0,0,0,17,15,15,0,0,33
101041027,3,5,0,0,9,0,0,0,0,0,3,18,0,0,24,0,4,0,0,4,15,35,0,0,46,0,4,0,0,4,3,18,5,0,27,5,20,0,0,29,4,4,0,0,7,0,0,0,0,0,0,0,0,0,6,6,6,0,0,6,20,18,0,0,34,3,6,0,0,4,0,0,0,0,0,6,3,0,0,5,5,9,0,0,16,3,0,0,0,3,4,0,0,0,6,0,3,0,0,4,83,151,8,0,240,16,13,0,0,30,0,0,0,0,0,9,3,0,0,14,0,0,0,0,0,68,26,0,0,95,0,0,0,0,0,15,25,3,6,41,23,33,0,0,57,6,3,0,0,13,5,0,0,0,4,0,0,0,0,0,0,8,0,0,4,27,3,0,0,33,29,7,0,0,33,0,0,0,0,0,15,4,0,0,19,34,3,0,0,40,16,0,0,0,16,26,9,0,0,36
101051539,0,0,0,0,4,0,0,0,0,0,13,27,9,0,52,0,0,0,0,0,28,88,6,0,121,3,10,0,0,13,0,47,13,0,58,4,22,4,0,39,10,22,0,0,27,0,3,0,0,6,0,6,0,0,6,3,18,0,0,19,19,31,3,0,55,3,10,0,0,12,0,4,0,0,7,3,4,0,0,12,15,21,4,0,39,0,0,0,0,4,10,29,0,6,39,4,11,4,0,14,125,359,51,6,538,17,9,0,0,21,0,0,0,0,0,17,3,0,0,21,0,0,0,0,0,74,40,0,0,110,3,7,0,0,7,26,20,0,0,39,9,20,7,0,32,13,6,0,0,22,0,0,0,0,0,6,0,0,0,6,10,0,0,0,10,36,18,0,0,54,30,6,0,0,41,3,0,0,0,3,22,4,0,0,24,53,15,0,0,71,13,7,0,0,24,54,31,0,0,89
101051540,37,83,3,0,127,0,0,0,0,0,7,8,0,0,16,0,0,0,0,0,15,27,6,0,46,0,3,0,0,5,11,13,3,0,20,0,12,0,0,13,10,9,0,0,24,0,4,0,0,4,3,3,0,0,7,7,4,0,0,8,19,26,0,0,42,3,3,0,0,7,0,0,0,0,0,0,5,0,0,3,9,12,3,0,23,0,0,0,0,0,4,10,0,0,13,11,3,0,0,11,123,228,27,0,375,244,127,0,5,381,0,0,0,0,0,20,13,0,0,29,0,0,0,0,0,52,27,0,0,81,3,3,0,0,3,20,3,0,0,25,8,9,0,0,16,6,10,0,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,26,5,0,0,35,18,4,0,0,20,0,0,0,0,0,14,4,0,0,18,20,0,0,0,17,11,0,0,0,11,28,7,0,0,31
101061541,0,7,0,0,6,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,23,4,0,33,0,0,0,0,0,3,9,0,0,7,0,14,0,0,14,6,4,0,0,14,5,3,0,0,3,0,0,0,0,0,0,10,0,0,7,12,15,0,0,24,0,4,0,0,4,0,0,0,0,0,0,0,0,0,9,4,5,0,0,13,0,0,0,0,0,4,7,0,0,11,0,3,0,0,3,46,106,9,0,159,13,5,0,0,22,0,0,0,0,0,6,3,0,0,12,0,0,0,0,0,34,11,0,0,47,3,3,0,0,0,7,8,0,0,18,7,10,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,3,0,0,12,10,0,0,0,14,0,0,0,0,0,12,0,0,0,12,20,5,0,0,21,0,0,0,0,7,17,11,0,0,25
